Files already downloaded and verified
Files already downloaded and verified
ConvNet(
  (conv1): Conv2d(3, 96, kernel_size=(3, 3), stride=(1, 1))
  (bn1): BatchNorm2d(96, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (relu1): ReLU()
  (conv_layers): Sequential(
    (0): Conv2d(96, 96, kernel_size=(3, 3), stride=(1, 1))
    (1): BatchNorm2d(96, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (2): ReLU()
    (3): Conv2d(96, 192, kernel_size=(3, 3), stride=(2, 2))
    (4): BatchNorm2d(192, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (5): ReLU()
    (6): Conv2d(192, 192, kernel_size=(3, 3), stride=(1, 1))
    (7): BatchNorm2d(192, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (8): ReLU()
    (9): Conv2d(192, 384, kernel_size=(3, 3), stride=(2, 2))
    (10): BatchNorm2d(384, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (11): ReLU()
    (12): Conv2d(384, 384, kernel_size=(3, 3), stride=(1, 1))
    (13): BatchNorm2d(384, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (14): ReLU()
    (15): Conv2d(384, 768, kernel_size=(3, 3), stride=(2, 2))
    (16): BatchNorm2d(768, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (17): ReLU()
  )
  (conv2): Conv2d(768, 768, kernel_size=(3, 3), stride=(1, 1))
  (bn2): BatchNorm2d(768, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (relu2): ReLU()
  (final_conv1): Conv2d(768, 768, kernel_size=(1, 1), stride=(1, 1))
  (final_bn1): BatchNorm2d(768, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (relu_final1): ReLU()
  (final_conv2): Conv2d(768, 10, kernel_size=(1, 1), stride=(1, 1))
  (avgpool): AdaptiveAvgPool2d(output_size=(1, 1))
)
Epoch [1/140], Loss: 1.5285, Train Accuracy: 0.4425, Test Accuracy: 0.5468
Epoch [2/140], Loss: 1.0647, Train Accuracy: 0.6192, Test Accuracy: 0.6359
Epoch [3/140], Loss: 0.7836, Train Accuracy: 0.7212, Test Accuracy: 0.6708
Epoch [4/140], Loss: 0.5885, Train Accuracy: 0.7923, Test Accuracy: 0.6876
Epoch [5/140], Loss: 0.3981, Train Accuracy: 0.8594, Test Accuracy: 0.6612
Epoch [6/140], Loss: 0.2657, Train Accuracy: 0.9073, Test Accuracy: 0.6934
Epoch [7/140], Loss: 0.1765, Train Accuracy: 0.9367, Test Accuracy: 0.7160
Epoch [8/140], Loss: 0.0931, Train Accuracy: 0.9695, Test Accuracy: 0.6963
Epoch [9/140], Loss: 0.0889, Train Accuracy: 0.9698, Test Accuracy: 0.7107
Epoch [10/140], Loss: 0.0969, Train Accuracy: 0.9657, Test Accuracy: 0.7057
Epoch [11/140], Loss: 0.0514, Train Accuracy: 0.9826, Test Accuracy: 0.7246
Epoch [12/140], Loss: 0.0274, Train Accuracy: 0.9912, Test Accuracy: 0.7267
Epoch [13/140], Loss: 0.0124, Train Accuracy: 0.9968, Test Accuracy: 0.7449
Epoch [14/140], Loss: 0.0033, Train Accuracy: 0.9995, Test Accuracy: 0.7483
Epoch [15/140], Loss: 0.0013, Train Accuracy: 0.9999, Test Accuracy: 0.7512
Epoch [16/140], Loss: 0.0005, Train Accuracy: 1.0000, Test Accuracy: 0.7537
Epoch [17/140], Loss: 0.0004, Train Accuracy: 1.0000, Test Accuracy: 0.7554
Epoch [18/140], Loss: 0.0003, Train Accuracy: 1.0000, Test Accuracy: 0.7553
Epoch [19/140], Loss: 0.0003, Train Accuracy: 1.0000, Test Accuracy: 0.7566
Epoch [20/140], Loss: 0.0002, Train Accuracy: 1.0000, Test Accuracy: 0.7567
Epoch [21/140], Loss: 0.0002, Train Accuracy: 1.0000, Test Accuracy: 0.7567
Epoch [22/140], Loss: 0.0002, Train Accuracy: 1.0000, Test Accuracy: 0.7578
Epoch [23/140], Loss: 0.0002, Train Accuracy: 1.0000, Test Accuracy: 0.7564
Epoch [24/140], Loss: 0.0002, Train Accuracy: 1.0000, Test Accuracy: 0.7578
Epoch [25/140], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.7568
Epoch [26/140], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.7576
Epoch [27/140], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.7592
Epoch [28/140], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.7566
Epoch [29/140], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.7583
Epoch [30/140], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.7576
Epoch [31/140], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.7596
Epoch [32/140], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.7563
Epoch [33/140], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.7583
Epoch [34/140], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.7589
Epoch [35/140], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.7551
Epoch [36/140], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.7587
Epoch [37/140], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.7593
Epoch [38/140], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.7586
Epoch [39/140], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.7581
Epoch [40/140], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.7577
Epoch [41/140], Loss: 0.5408, Train Accuracy: 0.8371, Test Accuracy: 0.7694
Epoch [42/140], Loss: 0.2371, Train Accuracy: 0.9225, Test Accuracy: 0.7552
Epoch [43/140], Loss: 0.1246, Train Accuracy: 0.9588, Test Accuracy: 0.7669
Epoch [44/140], Loss: 0.0812, Train Accuracy: 0.9719, Test Accuracy: 0.7644
Epoch [45/140], Loss: 0.0610, Train Accuracy: 0.9794, Test Accuracy: 0.7706
Epoch [46/140], Loss: 0.0414, Train Accuracy: 0.9860, Test Accuracy: 0.7696
Epoch [47/140], Loss: 0.0242, Train Accuracy: 0.9917, Test Accuracy: 0.7796
Epoch [48/140], Loss: 0.0344, Train Accuracy: 0.9883, Test Accuracy: 0.7658
Epoch [49/140], Loss: 0.0388, Train Accuracy: 0.9874, Test Accuracy: 0.7697
Epoch [50/140], Loss: 0.0285, Train Accuracy: 0.9902, Test Accuracy: 0.7774
Epoch [51/140], Loss: 0.0181, Train Accuracy: 0.9939, Test Accuracy: 0.7785
Epoch [52/140], Loss: 0.0089, Train Accuracy: 0.9974, Test Accuracy: 0.7887
Epoch [53/140], Loss: 0.0037, Train Accuracy: 0.9991, Test Accuracy: 0.7937
Epoch [54/140], Loss: 0.0015, Train Accuracy: 0.9997, Test Accuracy: 0.7972
Epoch [55/140], Loss: 0.0005, Train Accuracy: 1.0000, Test Accuracy: 0.7977
Epoch [56/140], Loss: 0.0004, Train Accuracy: 1.0000, Test Accuracy: 0.7996
Epoch [57/140], Loss: 0.0003, Train Accuracy: 1.0000, Test Accuracy: 0.8005
Epoch [58/140], Loss: 0.0002, Train Accuracy: 1.0000, Test Accuracy: 0.8018
Epoch [59/140], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8010
Epoch [60/140], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8016
Epoch [61/140], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8020
Epoch [62/140], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8020
Epoch [63/140], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8016
Epoch [64/140], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8031
Epoch [65/140], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8003
Epoch [66/140], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8012
Epoch [67/140], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8014
Epoch [68/140], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8022
Epoch [69/140], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8026
Epoch [70/140], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8026
Epoch [71/140], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8019
Epoch [72/140], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8017
Epoch [73/140], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8023
Epoch [74/140], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8025
Epoch [75/140], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8011
Epoch [76/140], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8022
Epoch [77/140], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8018
Epoch [78/140], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8014
Epoch [79/140], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8026
Epoch [80/140], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8019
Epoch [81/140], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8022
Epoch [82/140], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8029
Epoch [83/140], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8014
Epoch [84/140], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8026
Epoch [85/140], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8032
Epoch [86/140], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8026
Epoch [87/140], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8022
Epoch [88/140], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8033
