Files already downloaded and verified
Files already downloaded and verified
ConvNet(
  (conv1): Conv2d(3, 96, kernel_size=(3, 3), stride=(1, 1))
  (bn1): BatchNorm2d(96, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (relu1): ReLU()
  (conv_layers): Sequential(
    (0): Conv2d(96, 96, kernel_size=(3, 3), stride=(1, 1))
    (1): BatchNorm2d(96, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (2): ReLU()
    (3): Conv2d(96, 192, kernel_size=(3, 3), stride=(2, 2))
    (4): BatchNorm2d(192, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (5): ReLU()
    (6): Conv2d(192, 192, kernel_size=(3, 3), stride=(1, 1))
    (7): BatchNorm2d(192, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (8): ReLU()
    (9): Conv2d(192, 384, kernel_size=(3, 3), stride=(2, 2))
    (10): BatchNorm2d(384, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (11): ReLU()
    (12): Conv2d(384, 384, kernel_size=(3, 3), stride=(1, 1))
    (13): BatchNorm2d(384, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (14): ReLU()
    (15): Conv2d(384, 768, kernel_size=(3, 3), stride=(2, 2))
    (16): BatchNorm2d(768, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (17): ReLU()
  )
  (conv2): Conv2d(768, 768, kernel_size=(3, 3), stride=(1, 1))
  (bn2): BatchNorm2d(768, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (relu2): ReLU()
  (final_conv1): Conv2d(768, 768, kernel_size=(1, 1), stride=(1, 1))
  (final_bn1): BatchNorm2d(768, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (relu_final1): ReLU()
  (final_conv2): Conv2d(768, 10, kernel_size=(1, 1), stride=(1, 1))
  (avgpool): AdaptiveAvgPool2d(output_size=(1, 1))
)
Epoch [1/140], Loss: 1.5681, Train Accuracy: 0.4256, Test Accuracy: 0.5241
Epoch [2/140], Loss: 1.1169, Train Accuracy: 0.6012, Test Accuracy: 0.6102
Epoch [3/140], Loss: 0.8337, Train Accuracy: 0.7046, Test Accuracy: 0.6615
Epoch [4/140], Loss: 0.6145, Train Accuracy: 0.7818, Test Accuracy: 0.6801
Epoch [5/140], Loss: 0.4347, Train Accuracy: 0.8469, Test Accuracy: 0.6782
Epoch [6/140], Loss: 0.2770, Train Accuracy: 0.9055, Test Accuracy: 0.6777
Epoch [7/140], Loss: 0.1754, Train Accuracy: 0.9410, Test Accuracy: 0.6989
Epoch [8/140], Loss: 0.1285, Train Accuracy: 0.9562, Test Accuracy: 0.6927
Epoch [9/140], Loss: 0.0935, Train Accuracy: 0.9684, Test Accuracy: 0.6981
Epoch [10/140], Loss: 0.0578, Train Accuracy: 0.9803, Test Accuracy: 0.7037
Epoch [11/140], Loss: 0.0342, Train Accuracy: 0.9896, Test Accuracy: 0.7120
Epoch [12/140], Loss: 0.0281, Train Accuracy: 0.9915, Test Accuracy: 0.7115
Epoch [13/140], Loss: 0.0176, Train Accuracy: 0.9945, Test Accuracy: 0.7362
Epoch [14/140], Loss: 0.0075, Train Accuracy: 0.9983, Test Accuracy: 0.7356
Epoch [15/140], Loss: 0.0036, Train Accuracy: 0.9993, Test Accuracy: 0.7382
Epoch [16/140], Loss: 0.0010, Train Accuracy: 1.0000, Test Accuracy: 0.7461
Epoch [17/140], Loss: 0.0005, Train Accuracy: 1.0000, Test Accuracy: 0.7452
Epoch [18/140], Loss: 0.0004, Train Accuracy: 1.0000, Test Accuracy: 0.7480
Epoch [19/140], Loss: 0.0003, Train Accuracy: 1.0000, Test Accuracy: 0.7486
Epoch [20/140], Loss: 0.0003, Train Accuracy: 1.0000, Test Accuracy: 0.7473
Epoch [21/140], Loss: 0.0009, Train Accuracy: 0.9999, Test Accuracy: 0.7470
Epoch [22/140], Loss: 0.0003, Train Accuracy: 1.0000, Test Accuracy: 0.7456
Epoch [23/140], Loss: 0.0002, Train Accuracy: 1.0000, Test Accuracy: 0.7459
Epoch [24/140], Loss: 0.0002, Train Accuracy: 1.0000, Test Accuracy: 0.7449
Epoch [25/140], Loss: 0.0002, Train Accuracy: 1.0000, Test Accuracy: 0.7468
Epoch [26/140], Loss: 0.0002, Train Accuracy: 1.0000, Test Accuracy: 0.7454
Epoch [27/140], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.7467
Epoch [28/140], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.7495
Epoch [29/140], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.7462
Epoch [30/140], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.7474
Epoch [31/140], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.7457
Epoch [32/140], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.7461
Epoch [33/140], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.7473
Epoch [34/140], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.7465
Epoch [35/140], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.7453
Epoch [36/140], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.7459
Epoch [37/140], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.7459
Epoch [38/140], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.7479
Epoch [39/140], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.7493
Epoch [40/140], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.7474
Epoch [41/140], Loss: 0.5779, Train Accuracy: 0.8235, Test Accuracy: 0.7633
Epoch [42/140], Loss: 0.2515, Train Accuracy: 0.9177, Test Accuracy: 0.7542
Epoch [43/140], Loss: 0.1285, Train Accuracy: 0.9570, Test Accuracy: 0.7609
Epoch [44/140], Loss: 0.0820, Train Accuracy: 0.9721, Test Accuracy: 0.7665
Epoch [45/140], Loss: 0.0622, Train Accuracy: 0.9788, Test Accuracy: 0.7528
Epoch [46/140], Loss: 0.0546, Train Accuracy: 0.9807, Test Accuracy: 0.7706
Epoch [47/140], Loss: 0.0342, Train Accuracy: 0.9892, Test Accuracy: 0.7766
Epoch [48/140], Loss: 0.0247, Train Accuracy: 0.9916, Test Accuracy: 0.7694
Epoch [49/140], Loss: 0.0244, Train Accuracy: 0.9918, Test Accuracy: 0.7730
Epoch [50/140], Loss: 0.0242, Train Accuracy: 0.9920, Test Accuracy: 0.7680
Epoch [51/140], Loss: 0.0189, Train Accuracy: 0.9935, Test Accuracy: 0.7722
Epoch [52/140], Loss: 0.0105, Train Accuracy: 0.9967, Test Accuracy: 0.7821
Epoch [53/140], Loss: 0.0061, Train Accuracy: 0.9983, Test Accuracy: 0.7879
Epoch [54/140], Loss: 0.0016, Train Accuracy: 0.9998, Test Accuracy: 0.7923
Epoch [55/140], Loss: 0.0006, Train Accuracy: 1.0000, Test Accuracy: 0.7936
Epoch [56/140], Loss: 0.0005, Train Accuracy: 0.9999, Test Accuracy: 0.7954
Epoch [57/140], Loss: 0.0004, Train Accuracy: 1.0000, Test Accuracy: 0.7959
Epoch [58/140], Loss: 0.0004, Train Accuracy: 1.0000, Test Accuracy: 0.7969
Epoch [59/140], Loss: 0.0002, Train Accuracy: 1.0000, Test Accuracy: 0.7961
Epoch [60/140], Loss: 0.0003, Train Accuracy: 0.9999, Test Accuracy: 0.7956
Epoch [61/140], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.7953
Epoch [62/140], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.7939
Epoch [63/140], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.7954
Epoch [64/140], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.7953
Epoch [65/140], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.7958
Epoch [66/140], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.7966
Epoch [67/140], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.7974
Epoch [68/140], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.7974
Epoch [69/140], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.7977
Epoch [70/140], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.7980
Epoch [71/140], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.7993
Epoch [72/140], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.7987
Epoch [73/140], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.7986
Epoch [74/140], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.7990
Epoch [75/140], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.7983
Epoch [76/140], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.7998
Epoch [77/140], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.7974
Epoch [78/140], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.7997
Epoch [79/140], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.7997
Epoch [80/140], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.7994
Epoch [81/140], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.7992
Epoch [82/140], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.7973
Epoch [83/140], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.7977
Epoch [84/140], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.7994
Epoch [85/140], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.7993
Epoch [86/140], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.7993
Epoch [87/140], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.7986
Epoch [88/140], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.7987
Epoch [89/140], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.7986
Epoch [90/140], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.7972
Epoch [91/140], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.7974
Epoch [92/140], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.7971
Epoch [93/140], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.7968
Epoch [94/140], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.7970
Epoch [95/140], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.7977
Epoch [96/140], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.7979
Epoch [97/140], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.7980
Epoch [98/140], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.7995
Epoch [99/140], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.7970
Epoch [100/140], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.7969
Epoch [101/140], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.7984
Epoch [102/140], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.7994
Epoch [103/140], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.7982
Epoch [104/140], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.7981
Epoch [105/140], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.7989
Epoch [106/140], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.7981
Epoch [107/140], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.7992
Epoch [108/140], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.7987
Epoch [109/140], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.7994
Epoch [110/140], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.7988
Epoch [111/140], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.7982
Epoch [112/140], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.7989
Epoch [113/140], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.7988
Epoch [114/140], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.7993
Epoch [115/140], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.7989
Epoch [116/140], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8000
Epoch [117/140], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.7974
Epoch [118/140], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.7987
Epoch [119/140], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.7992
Epoch [120/140], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.7994
Epoch [121/140], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8004
Epoch [122/140], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8000
Epoch [123/140], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.7990
Epoch [124/140], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8000
Epoch [125/140], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.7989
Epoch [126/140], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.7999
Epoch [127/140], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.7988
Epoch [128/140], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.7982
Epoch [129/140], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.7994
Epoch [130/140], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.7998
Epoch [131/140], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.7988
Epoch [132/140], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.7997
Epoch [133/140], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.7985
Epoch [134/140], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.7993
Epoch [135/140], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.7995
Epoch [136/140], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.7989
Epoch [137/140], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.7989
Epoch [138/140], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.7995
Epoch [139/140], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.7998
Epoch [140/140], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.7992
