Files already downloaded and verified
Files already downloaded and verified
ConvNet(
  (conv1): Conv2d(3, 96, kernel_size=(3, 3), stride=(1, 1))
  (bn1): BatchNorm2d(96, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (relu1): ReLU()
  (conv_layers): Sequential(
    (0): Conv2d(96, 96, kernel_size=(3, 3), stride=(1, 1))
    (1): BatchNorm2d(96, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (2): ReLU()
    (3): Conv2d(96, 192, kernel_size=(3, 3), stride=(2, 2))
    (4): BatchNorm2d(192, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (5): ReLU()
    (6): Conv2d(192, 192, kernel_size=(3, 3), stride=(1, 1))
    (7): BatchNorm2d(192, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (8): ReLU()
    (9): Conv2d(192, 384, kernel_size=(3, 3), stride=(2, 2))
    (10): BatchNorm2d(384, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (11): ReLU()
    (12): Conv2d(384, 384, kernel_size=(3, 3), stride=(1, 1))
    (13): BatchNorm2d(384, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (14): ReLU()
    (15): Conv2d(384, 768, kernel_size=(3, 3), stride=(2, 2))
    (16): BatchNorm2d(768, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (17): ReLU()
  )
  (conv2): Conv2d(768, 768, kernel_size=(3, 3), stride=(1, 1))
  (bn2): BatchNorm2d(768, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (relu2): ReLU()
  (final_conv1): Conv2d(768, 768, kernel_size=(1, 1), stride=(1, 1))
  (final_bn1): BatchNorm2d(768, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (relu_final1): ReLU()
  (final_conv2): Conv2d(768, 10, kernel_size=(1, 1), stride=(1, 1))
  (avgpool): AdaptiveAvgPool2d(output_size=(1, 1))
)
Epoch [1/150], Loss: 1.3347, Train Accuracy: 0.5160, Test Accuracy: 0.6417
Epoch [2/150], Loss: 0.8175, Train Accuracy: 0.7126, Test Accuracy: 0.7056
Epoch [3/150], Loss: 0.5936, Train Accuracy: 0.7914, Test Accuracy: 0.7271
Epoch [4/150], Loss: 0.4357, Train Accuracy: 0.8477, Test Accuracy: 0.7652
Epoch [5/150], Loss: 0.3052, Train Accuracy: 0.8936, Test Accuracy: 0.7730
Epoch [6/150], Loss: 0.2082, Train Accuracy: 0.9258, Test Accuracy: 0.7666
Epoch [7/150], Loss: 0.1453, Train Accuracy: 0.9487, Test Accuracy: 0.7699
Epoch [8/150], Loss: 0.0988, Train Accuracy: 0.9654, Test Accuracy: 0.7771
Epoch [9/150], Loss: 0.0791, Train Accuracy: 0.9719, Test Accuracy: 0.7833
Epoch [10/150], Loss: 0.0532, Train Accuracy: 0.9817, Test Accuracy: 0.7809
Epoch [11/150], Loss: 0.0427, Train Accuracy: 0.9854, Test Accuracy: 0.7874
Epoch [12/150], Loss: 0.0220, Train Accuracy: 0.9931, Test Accuracy: 0.7972
Epoch [13/150], Loss: 0.0102, Train Accuracy: 0.9970, Test Accuracy: 0.7997
Epoch [14/150], Loss: 0.0037, Train Accuracy: 0.9994, Test Accuracy: 0.8021
Epoch [15/150], Loss: 0.0017, Train Accuracy: 0.9997, Test Accuracy: 0.8058
Epoch [16/150], Loss: 0.0006, Train Accuracy: 1.0000, Test Accuracy: 0.8098
Epoch [17/150], Loss: 0.0004, Train Accuracy: 1.0000, Test Accuracy: 0.8106
Epoch [18/150], Loss: 0.0004, Train Accuracy: 1.0000, Test Accuracy: 0.8118
Epoch [19/150], Loss: 0.0003, Train Accuracy: 1.0000, Test Accuracy: 0.8095
Epoch [20/150], Loss: 0.0003, Train Accuracy: 1.0000, Test Accuracy: 0.8117
Epoch [21/150], Loss: 0.0002, Train Accuracy: 1.0000, Test Accuracy: 0.8125
Epoch [22/150], Loss: 0.0002, Train Accuracy: 1.0000, Test Accuracy: 0.8129
Epoch [23/150], Loss: 0.0002, Train Accuracy: 1.0000, Test Accuracy: 0.8118
Epoch [24/150], Loss: 0.0002, Train Accuracy: 1.0000, Test Accuracy: 0.8120
Epoch [25/150], Loss: 0.0002, Train Accuracy: 1.0000, Test Accuracy: 0.8132
Epoch [26/150], Loss: 0.0002, Train Accuracy: 1.0000, Test Accuracy: 0.8125
Epoch [27/150], Loss: 0.0002, Train Accuracy: 1.0000, Test Accuracy: 0.8138
Epoch [28/150], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8137
Epoch [29/150], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8138
Epoch [30/150], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8140
Epoch [31/150], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8137
Epoch [32/150], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8138
Epoch [33/150], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8133
Epoch [34/150], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8132
Epoch [35/150], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8138
Epoch [36/150], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8123
Epoch [37/150], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8153
Epoch [38/150], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8143
Epoch [39/150], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8137
Epoch [40/150], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8146
Epoch [41/150], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8140
Epoch [42/150], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8130
Epoch [43/150], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8144
Epoch [44/150], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8156
Epoch [45/150], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8132
Epoch [46/150], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8130
Epoch [47/150], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8140
Epoch [48/150], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8132
Epoch [49/150], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8148
Epoch [50/150], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8134
Epoch [51/150], Loss: 0.0635, Train Accuracy: 0.9788, Test Accuracy: 0.7644
Epoch [52/150], Loss: 0.0714, Train Accuracy: 0.9747, Test Accuracy: 0.7788
Epoch [53/150], Loss: 0.0207, Train Accuracy: 0.9929, Test Accuracy: 0.7950
Epoch [54/150], Loss: 0.0091, Train Accuracy: 0.9976, Test Accuracy: 0.8031
Epoch [55/150], Loss: 0.0025, Train Accuracy: 0.9996, Test Accuracy: 0.8098
Epoch [56/150], Loss: 0.0010, Train Accuracy: 0.9999, Test Accuracy: 0.8131
