Files already downloaded and verified
Files already downloaded and verified
ConvNet(
  (conv1): Conv2d(3, 96, kernel_size=(3, 3), stride=(1, 1))
  (bn1): BatchNorm2d(96, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (relu1): ReLU()
  (conv_layers): Sequential(
    (0): Conv2d(96, 96, kernel_size=(3, 3), stride=(1, 1))
    (1): BatchNorm2d(96, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (2): ReLU()
    (3): Conv2d(96, 192, kernel_size=(3, 3), stride=(2, 2))
    (4): BatchNorm2d(192, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (5): ReLU()
    (6): Conv2d(192, 192, kernel_size=(3, 3), stride=(1, 1))
    (7): BatchNorm2d(192, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (8): ReLU()
    (9): Conv2d(192, 384, kernel_size=(3, 3), stride=(2, 2))
    (10): BatchNorm2d(384, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (11): ReLU()
    (12): Conv2d(384, 384, kernel_size=(3, 3), stride=(1, 1))
    (13): BatchNorm2d(384, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (14): ReLU()
    (15): Conv2d(384, 768, kernel_size=(3, 3), stride=(2, 2))
    (16): BatchNorm2d(768, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (17): ReLU()
  )
  (conv2): Conv2d(768, 768, kernel_size=(3, 3), stride=(1, 1))
  (bn2): BatchNorm2d(768, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (relu2): ReLU()
  (final_conv1): Conv2d(768, 768, kernel_size=(1, 1), stride=(1, 1))
  (final_bn1): BatchNorm2d(768, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (relu_final1): ReLU()
  (final_conv2): Conv2d(768, 10, kernel_size=(1, 1), stride=(1, 1))
  (avgpool): AdaptiveAvgPool2d(output_size=(1, 1))
)
Epoch [1/170], Loss: 1.3189, Train Accuracy: 0.5237, Test Accuracy: 0.6222
Epoch [2/170], Loss: 0.8224, Train Accuracy: 0.7076, Test Accuracy: 0.7129
Epoch [3/170], Loss: 0.5876, Train Accuracy: 0.7956, Test Accuracy: 0.7548
Epoch [4/170], Loss: 0.4339, Train Accuracy: 0.8480, Test Accuracy: 0.7560
Epoch [5/170], Loss: 0.3078, Train Accuracy: 0.8926, Test Accuracy: 0.7707
Epoch [6/170], Loss: 0.2088, Train Accuracy: 0.9273, Test Accuracy: 0.7743
Epoch [7/170], Loss: 0.1446, Train Accuracy: 0.9503, Test Accuracy: 0.7733
Epoch [8/170], Loss: 0.1025, Train Accuracy: 0.9649, Test Accuracy: 0.7750
Epoch [9/170], Loss: 0.0724, Train Accuracy: 0.9749, Test Accuracy: 0.7825
Epoch [10/170], Loss: 0.0559, Train Accuracy: 0.9810, Test Accuracy: 0.7861
Epoch [11/170], Loss: 0.0439, Train Accuracy: 0.9848, Test Accuracy: 0.7857
Epoch [12/170], Loss: 0.0490, Train Accuracy: 0.9832, Test Accuracy: 0.7803
Epoch [13/170], Loss: 0.0325, Train Accuracy: 0.9892, Test Accuracy: 0.7913
Epoch [14/170], Loss: 0.0193, Train Accuracy: 0.9937, Test Accuracy: 0.8062
Epoch [15/170], Loss: 0.0105, Train Accuracy: 0.9968, Test Accuracy: 0.7975
Epoch [16/170], Loss: 0.0075, Train Accuracy: 0.9978, Test Accuracy: 0.8043
Epoch [17/170], Loss: 0.0058, Train Accuracy: 0.9983, Test Accuracy: 0.8117
Epoch [18/170], Loss: 0.0061, Train Accuracy: 0.9983, Test Accuracy: 0.8049
Epoch [19/170], Loss: 0.0034, Train Accuracy: 0.9991, Test Accuracy: 0.8115
Epoch [20/170], Loss: 0.0017, Train Accuracy: 0.9996, Test Accuracy: 0.8116
Epoch [21/170], Loss: 0.0008, Train Accuracy: 0.9999, Test Accuracy: 0.8138
Epoch [22/170], Loss: 0.0003, Train Accuracy: 1.0000, Test Accuracy: 0.8168
Epoch [23/170], Loss: 0.0002, Train Accuracy: 1.0000, Test Accuracy: 0.8163
Epoch [24/170], Loss: 0.0002, Train Accuracy: 1.0000, Test Accuracy: 0.8180
Epoch [25/170], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8192
Epoch [26/170], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8205
Epoch [27/170], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8205
Epoch [28/170], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8190
Epoch [29/170], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8181
Epoch [30/170], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8174
Epoch [31/170], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8188
Epoch [32/170], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8193
Epoch [33/170], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8196
Epoch [34/170], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8173
Epoch [35/170], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8171
Epoch [36/170], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8189
Epoch [37/170], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8171
Epoch [38/170], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8156
Epoch [39/170], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8182
Epoch [40/170], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8193
Epoch [41/170], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8191
Epoch [42/170], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8178
Epoch [43/170], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8203
Epoch [44/170], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8191
Epoch [45/170], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8179
Epoch [46/170], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8168
Epoch [47/170], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8176
Epoch [48/170], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8192
Epoch [49/170], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8178
Epoch [50/170], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8173
Epoch [51/170], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8201
Epoch [52/170], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8182
Epoch [53/170], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8177
Epoch [54/170], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8160
Epoch [55/170], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8167
Epoch [56/170], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8160
Epoch [57/170], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8183
Epoch [58/170], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8170
Epoch [59/170], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8177
Epoch [60/170], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8184
Epoch [61/170], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8170
Epoch [62/170], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8168
Epoch [63/170], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8169
Epoch [64/170], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8202
Epoch [65/170], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8184
Epoch [66/170], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8196
Epoch [67/170], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8182
Epoch [68/170], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8181
Epoch [69/170], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8175
Epoch [70/170], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8175
Epoch [71/170], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8194
Epoch [72/170], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8196
Epoch [73/170], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8197
Epoch [74/170], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8206
Epoch [75/170], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8191
Epoch [76/170], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8200
Epoch [77/170], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8196
Epoch [78/170], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8195
Epoch [79/170], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8206
Epoch [80/170], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8177
Epoch [81/170], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8204
Epoch [82/170], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8194
Epoch [83/170], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8191
Epoch [84/170], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8184
Epoch [85/170], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8204
Epoch [86/170], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8204
Epoch [87/170], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8203
Epoch [88/170], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8203
Epoch [89/170], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8189
Epoch [90/170], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8203
Epoch [91/170], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8200
Epoch [92/170], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8199
Epoch [93/170], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8203
Epoch [94/170], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8211
Epoch [95/170], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8200
Epoch [96/170], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8206
Epoch [97/170], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8210
Epoch [98/170], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8211
Epoch [99/170], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8208
Epoch [100/170], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8215
Epoch [101/170], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8224
Epoch [102/170], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8212
Epoch [103/170], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8199
Epoch [104/170], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8211
Epoch [105/170], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8205
Epoch [106/170], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8215
Epoch [107/170], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8217
Epoch [108/170], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8207
Epoch [109/170], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8208
Epoch [110/170], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8212
Epoch [111/170], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8204
Epoch [112/170], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8213
Epoch [113/170], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8214
Epoch [114/170], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8202
Epoch [115/170], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8200
Epoch [116/170], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8213
Epoch [117/170], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8202
Epoch [118/170], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8204
Epoch [119/170], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8213
Epoch [120/170], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8204
