Files already downloaded and verified
Files already downloaded and verified
ConvNet(
  (conv1): Conv2d(3, 96, kernel_size=(3, 3), stride=(1, 1))
  (bn1): BatchNorm2d(96, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (relu1): ReLU()
  (conv_layers): Sequential(
    (0): Conv2d(96, 96, kernel_size=(3, 3), stride=(1, 1))
    (1): BatchNorm2d(96, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (2): ReLU()
    (3): Conv2d(96, 192, kernel_size=(3, 3), stride=(2, 2))
    (4): BatchNorm2d(192, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (5): ReLU()
    (6): Conv2d(192, 192, kernel_size=(3, 3), stride=(1, 1))
    (7): BatchNorm2d(192, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (8): ReLU()
    (9): Conv2d(192, 384, kernel_size=(3, 3), stride=(2, 2))
    (10): BatchNorm2d(384, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (11): ReLU()
    (12): Conv2d(384, 384, kernel_size=(3, 3), stride=(1, 1))
    (13): BatchNorm2d(384, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (14): ReLU()
    (15): Conv2d(384, 768, kernel_size=(3, 3), stride=(2, 2))
    (16): BatchNorm2d(768, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (17): ReLU()
  )
  (conv2): Conv2d(768, 768, kernel_size=(3, 3), stride=(1, 1))
  (bn2): BatchNorm2d(768, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (relu2): ReLU()
  (final_conv1): Conv2d(768, 768, kernel_size=(1, 1), stride=(1, 1))
  (final_bn1): BatchNorm2d(768, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (relu_final1): ReLU()
  (final_conv2): Conv2d(768, 10, kernel_size=(1, 1), stride=(1, 1))
  (avgpool): AdaptiveAvgPool2d(output_size=(1, 1))
)
Epoch [1/170], Loss: 1.3425, Train Accuracy: 0.5133, Test Accuracy: 0.6470
Epoch [2/170], Loss: 0.8240, Train Accuracy: 0.7098, Test Accuracy: 0.7117
Epoch [3/170], Loss: 0.5893, Train Accuracy: 0.7936, Test Accuracy: 0.7277
Epoch [4/170], Loss: 0.4315, Train Accuracy: 0.8485, Test Accuracy: 0.7675
Epoch [5/170], Loss: 0.3075, Train Accuracy: 0.8916, Test Accuracy: 0.7514
Epoch [6/170], Loss: 0.2082, Train Accuracy: 0.9282, Test Accuracy: 0.7546
Epoch [7/170], Loss: 0.1490, Train Accuracy: 0.9477, Test Accuracy: 0.7764
Epoch [8/170], Loss: 0.0916, Train Accuracy: 0.9692, Test Accuracy: 0.7730
Epoch [9/170], Loss: 0.0740, Train Accuracy: 0.9744, Test Accuracy: 0.7724
Epoch [10/170], Loss: 0.0665, Train Accuracy: 0.9773, Test Accuracy: 0.7809
Epoch [11/170], Loss: 0.0411, Train Accuracy: 0.9861, Test Accuracy: 0.7912
Epoch [12/170], Loss: 0.0311, Train Accuracy: 0.9896, Test Accuracy: 0.7936
Epoch [13/170], Loss: 0.0161, Train Accuracy: 0.9949, Test Accuracy: 0.7945
Epoch [14/170], Loss: 0.0227, Train Accuracy: 0.9919, Test Accuracy: 0.7919
Epoch [15/170], Loss: 0.0175, Train Accuracy: 0.9943, Test Accuracy: 0.7954
Epoch [16/170], Loss: 0.0152, Train Accuracy: 0.9948, Test Accuracy: 0.7939
Epoch [17/170], Loss: 0.0145, Train Accuracy: 0.9954, Test Accuracy: 0.7895
Epoch [18/170], Loss: 0.0188, Train Accuracy: 0.9937, Test Accuracy: 0.7949
Epoch [19/170], Loss: 0.0140, Train Accuracy: 0.9953, Test Accuracy: 0.7951
Epoch [20/170], Loss: 0.0158, Train Accuracy: 0.9949, Test Accuracy: 0.7881
Epoch [21/170], Loss: 0.0174, Train Accuracy: 0.9939, Test Accuracy: 0.7958
Epoch [22/170], Loss: 0.0125, Train Accuracy: 0.9958, Test Accuracy: 0.7947
