Files already downloaded and verified
Files already downloaded and verified
ConvNet(
  (conv1): Conv2d(3, 96, kernel_size=(3, 3), stride=(1, 1))
  (bn1): BatchNorm2d(96, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (relu1): ReLU()
  (conv_layers): Sequential(
    (0): Conv2d(96, 96, kernel_size=(3, 3), stride=(1, 1))
    (1): BatchNorm2d(96, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (2): ReLU()
    (3): Conv2d(96, 192, kernel_size=(3, 3), stride=(2, 2))
    (4): BatchNorm2d(192, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (5): ReLU()
    (6): Conv2d(192, 192, kernel_size=(3, 3), stride=(1, 1))
    (7): BatchNorm2d(192, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (8): ReLU()
    (9): Conv2d(192, 384, kernel_size=(3, 3), stride=(2, 2))
    (10): BatchNorm2d(384, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (11): ReLU()
    (12): Conv2d(384, 384, kernel_size=(3, 3), stride=(1, 1))
    (13): BatchNorm2d(384, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (14): ReLU()
    (15): Conv2d(384, 768, kernel_size=(3, 3), stride=(2, 2))
    (16): BatchNorm2d(768, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (17): ReLU()
  )
  (conv2): Conv2d(768, 768, kernel_size=(3, 3), stride=(1, 1))
  (bn2): BatchNorm2d(768, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (relu2): ReLU()
  (final_conv1): Conv2d(768, 768, kernel_size=(1, 1), stride=(1, 1))
  (final_bn1): BatchNorm2d(768, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (relu_final1): ReLU()
  (final_conv2): Conv2d(768, 10, kernel_size=(1, 1), stride=(1, 1))
  (avgpool): AdaptiveAvgPool2d(output_size=(1, 1))
)
Epoch [1/170], Loss: 1.3440, Train Accuracy: 0.5130, Test Accuracy: 0.6013
Epoch [2/170], Loss: 0.8339, Train Accuracy: 0.7041, Test Accuracy: 0.7242
Epoch [3/170], Loss: 0.5978, Train Accuracy: 0.7896, Test Accuracy: 0.7363
Epoch [4/170], Loss: 0.4344, Train Accuracy: 0.8479, Test Accuracy: 0.7756
Epoch [5/170], Loss: 0.3097, Train Accuracy: 0.8907, Test Accuracy: 0.7670
Epoch [6/170], Loss: 0.2106, Train Accuracy: 0.9266, Test Accuracy: 0.7738
Epoch [7/170], Loss: 0.1409, Train Accuracy: 0.9503, Test Accuracy: 0.7672
Epoch [8/170], Loss: 0.1164, Train Accuracy: 0.9584, Test Accuracy: 0.7807
Epoch [9/170], Loss: 0.0728, Train Accuracy: 0.9757, Test Accuracy: 0.7887
Epoch [10/170], Loss: 0.0553, Train Accuracy: 0.9808, Test Accuracy: 0.7848
Epoch [11/170], Loss: 0.0418, Train Accuracy: 0.9861, Test Accuracy: 0.7848
Epoch [12/170], Loss: 0.0333, Train Accuracy: 0.9886, Test Accuracy: 0.7886
Epoch [13/170], Loss: 0.0284, Train Accuracy: 0.9905, Test Accuracy: 0.7800
Epoch [14/170], Loss: 0.0215, Train Accuracy: 0.9925, Test Accuracy: 0.8002
Epoch [15/170], Loss: 0.0173, Train Accuracy: 0.9946, Test Accuracy: 0.7996
Epoch [16/170], Loss: 0.0080, Train Accuracy: 0.9978, Test Accuracy: 0.8084
Epoch [17/170], Loss: 0.0048, Train Accuracy: 0.9987, Test Accuracy: 0.8036
Epoch [18/170], Loss: 0.0058, Train Accuracy: 0.9982, Test Accuracy: 0.8093
Epoch [19/170], Loss: 0.0034, Train Accuracy: 0.9990, Test Accuracy: 0.8070
Epoch [20/170], Loss: 0.0021, Train Accuracy: 0.9995, Test Accuracy: 0.8089
Epoch [21/170], Loss: 0.0007, Train Accuracy: 0.9999, Test Accuracy: 0.8130
Epoch [22/170], Loss: 0.0004, Train Accuracy: 1.0000, Test Accuracy: 0.8153
