Files already downloaded and verified
Files already downloaded and verified
ConvNet(
  (conv1): Conv2d(3, 96, kernel_size=(3, 3), stride=(1, 1))
  (bn1): BatchNorm2d(96, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (relu1): ReLU()
  (conv_layers): Sequential(
    (0): Conv2d(96, 96, kernel_size=(3, 3), stride=(1, 1))
    (1): BatchNorm2d(96, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (2): ReLU()
    (3): Conv2d(96, 192, kernel_size=(3, 3), stride=(2, 2))
    (4): BatchNorm2d(192, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (5): ReLU()
    (6): Conv2d(192, 192, kernel_size=(3, 3), stride=(1, 1))
    (7): BatchNorm2d(192, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (8): ReLU()
    (9): Conv2d(192, 384, kernel_size=(3, 3), stride=(2, 2))
    (10): BatchNorm2d(384, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (11): ReLU()
    (12): Conv2d(384, 384, kernel_size=(3, 3), stride=(1, 1))
    (13): BatchNorm2d(384, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (14): ReLU()
    (15): Conv2d(384, 768, kernel_size=(3, 3), stride=(2, 2))
    (16): BatchNorm2d(768, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (17): ReLU()
  )
  (conv2): Conv2d(768, 768, kernel_size=(3, 3), stride=(1, 1))
  (bn2): BatchNorm2d(768, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (relu2): ReLU()
  (final_conv1): Conv2d(768, 768, kernel_size=(1, 1), stride=(1, 1))
  (final_bn1): BatchNorm2d(768, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (relu_final1): ReLU()
  (final_conv2): Conv2d(768, 10, kernel_size=(1, 1), stride=(1, 1))
  (avgpool): AdaptiveAvgPool2d(output_size=(1, 1))
)
Epoch [1/190], Loss: 1.3424, Train Accuracy: 0.5138, Test Accuracy: 0.6101
Epoch [2/190], Loss: 0.8334, Train Accuracy: 0.7068, Test Accuracy: 0.7118
Epoch [3/190], Loss: 0.5999, Train Accuracy: 0.7887, Test Accuracy: 0.7419
Epoch [4/190], Loss: 0.4324, Train Accuracy: 0.8473, Test Accuracy: 0.7723
Epoch [5/190], Loss: 0.3088, Train Accuracy: 0.8918, Test Accuracy: 0.7736
Epoch [6/190], Loss: 0.2171, Train Accuracy: 0.9235, Test Accuracy: 0.7721
Epoch [7/190], Loss: 0.1492, Train Accuracy: 0.9478, Test Accuracy: 0.7788
Epoch [8/190], Loss: 0.1038, Train Accuracy: 0.9640, Test Accuracy: 0.7668
Epoch [9/190], Loss: 0.0735, Train Accuracy: 0.9755, Test Accuracy: 0.7898
Epoch [10/190], Loss: 0.0526, Train Accuracy: 0.9820, Test Accuracy: 0.7842
Epoch [11/190], Loss: 0.0392, Train Accuracy: 0.9871, Test Accuracy: 0.7775
Epoch [12/190], Loss: 0.0487, Train Accuracy: 0.9833, Test Accuracy: 0.7794
Epoch [13/190], Loss: 0.0378, Train Accuracy: 0.9869, Test Accuracy: 0.7863
Epoch [14/190], Loss: 0.0258, Train Accuracy: 0.9914, Test Accuracy: 0.7961
Epoch [15/190], Loss: 0.0173, Train Accuracy: 0.9945, Test Accuracy: 0.7909
Epoch [16/190], Loss: 0.0129, Train Accuracy: 0.9961, Test Accuracy: 0.8066
Epoch [17/190], Loss: 0.0087, Train Accuracy: 0.9976, Test Accuracy: 0.8075
Epoch [18/190], Loss: 0.0073, Train Accuracy: 0.9975, Test Accuracy: 0.8023
Epoch [19/190], Loss: 0.0035, Train Accuracy: 0.9992, Test Accuracy: 0.8142
Epoch [20/190], Loss: 0.0013, Train Accuracy: 0.9998, Test Accuracy: 0.8130
Epoch [21/190], Loss: 0.0005, Train Accuracy: 1.0000, Test Accuracy: 0.8204
Epoch [22/190], Loss: 0.0003, Train Accuracy: 1.0000, Test Accuracy: 0.8221
