Files already downloaded and verified
Files already downloaded and verified
ConvNet(
  (conv1): Conv2d(3, 96, kernel_size=(3, 3), stride=(1, 1))
  (bn1): BatchNorm2d(96, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (relu1): ReLU()
  (conv_layers): Sequential(
    (0): Conv2d(96, 96, kernel_size=(3, 3), stride=(1, 1))
    (1): BatchNorm2d(96, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (2): ReLU()
    (3): Conv2d(96, 192, kernel_size=(3, 3), stride=(2, 2))
    (4): BatchNorm2d(192, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (5): ReLU()
    (6): Conv2d(192, 192, kernel_size=(3, 3), stride=(1, 1))
    (7): BatchNorm2d(192, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (8): ReLU()
    (9): Conv2d(192, 384, kernel_size=(3, 3), stride=(2, 2))
    (10): BatchNorm2d(384, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (11): ReLU()
    (12): Conv2d(384, 384, kernel_size=(3, 3), stride=(1, 1))
    (13): BatchNorm2d(384, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (14): ReLU()
    (15): Conv2d(384, 768, kernel_size=(3, 3), stride=(2, 2))
    (16): BatchNorm2d(768, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (17): ReLU()
  )
  (conv2): Conv2d(768, 768, kernel_size=(3, 3), stride=(1, 1))
  (bn2): BatchNorm2d(768, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (relu2): ReLU()
  (final_conv1): Conv2d(768, 768, kernel_size=(1, 1), stride=(1, 1))
  (final_bn1): BatchNorm2d(768, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (relu_final1): ReLU()
  (final_conv2): Conv2d(768, 10, kernel_size=(1, 1), stride=(1, 1))
  (avgpool): AdaptiveAvgPool2d(output_size=(1, 1))
)
Epoch [1/190], Loss: 1.3272, Train Accuracy: 0.5199, Test Accuracy: 0.6175
Epoch [2/190], Loss: 0.8125, Train Accuracy: 0.7114, Test Accuracy: 0.7409
Epoch [3/190], Loss: 0.5820, Train Accuracy: 0.7950, Test Accuracy: 0.7408
Epoch [4/190], Loss: 0.4314, Train Accuracy: 0.8500, Test Accuracy: 0.7660
Epoch [5/190], Loss: 0.3069, Train Accuracy: 0.8908, Test Accuracy: 0.7714
Epoch [6/190], Loss: 0.2071, Train Accuracy: 0.9260, Test Accuracy: 0.7644
Epoch [7/190], Loss: 0.1387, Train Accuracy: 0.9510, Test Accuracy: 0.7712
Epoch [8/190], Loss: 0.1050, Train Accuracy: 0.9639, Test Accuracy: 0.7553
Epoch [9/190], Loss: 0.0764, Train Accuracy: 0.9738, Test Accuracy: 0.7833
Epoch [10/190], Loss: 0.0528, Train Accuracy: 0.9819, Test Accuracy: 0.7852
Epoch [11/190], Loss: 0.0435, Train Accuracy: 0.9852, Test Accuracy: 0.7960
Epoch [12/190], Loss: 0.0324, Train Accuracy: 0.9893, Test Accuracy: 0.7895
Epoch [13/190], Loss: 0.0239, Train Accuracy: 0.9919, Test Accuracy: 0.7954
Epoch [14/190], Loss: 0.0253, Train Accuracy: 0.9916, Test Accuracy: 0.7933
Epoch [15/190], Loss: 0.0241, Train Accuracy: 0.9922, Test Accuracy: 0.7909
Epoch [16/190], Loss: 0.0171, Train Accuracy: 0.9944, Test Accuracy: 0.7990
Epoch [17/190], Loss: 0.0109, Train Accuracy: 0.9962, Test Accuracy: 0.8025
Epoch [18/190], Loss: 0.0095, Train Accuracy: 0.9967, Test Accuracy: 0.7998
Epoch [19/190], Loss: 0.0043, Train Accuracy: 0.9989, Test Accuracy: 0.8067
Epoch [20/190], Loss: 0.0022, Train Accuracy: 0.9996, Test Accuracy: 0.8103
Epoch [21/190], Loss: 0.0012, Train Accuracy: 0.9998, Test Accuracy: 0.8144
Epoch [22/190], Loss: 0.0005, Train Accuracy: 1.0000, Test Accuracy: 0.8173
Epoch [23/190], Loss: 0.0003, Train Accuracy: 1.0000, Test Accuracy: 0.8165
Epoch [24/190], Loss: 0.0002, Train Accuracy: 1.0000, Test Accuracy: 0.8177
Epoch [25/190], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8185
Epoch [26/190], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8198
Epoch [27/190], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8191
Epoch [28/190], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8204
Epoch [29/190], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8208
Epoch [30/190], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8200
Epoch [31/190], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8210
Epoch [32/190], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8223
Epoch [33/190], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8216
Epoch [34/190], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8219
Epoch [35/190], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8208
Epoch [36/190], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8215
Epoch [37/190], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8218
Epoch [38/190], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8214
Epoch [39/190], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8224
Epoch [40/190], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8229
Epoch [41/190], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8216
Epoch [42/190], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8220
Epoch [43/190], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8212
Epoch [44/190], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8229
Epoch [45/190], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8219
Epoch [46/190], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8221
Epoch [47/190], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8209
Epoch [48/190], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8216
Epoch [49/190], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8213
Epoch [50/190], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8212
Epoch [51/190], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8212
Epoch [52/190], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8220
Epoch [53/190], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8214
Epoch [54/190], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8225
Epoch [55/190], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8214
Epoch [56/190], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8227
Epoch [57/190], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8225
Epoch [58/190], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8231
Epoch [59/190], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8219
Epoch [60/190], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8210
Epoch [61/190], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8206
Epoch [62/190], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8211
Epoch [63/190], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8206
Epoch [64/190], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8219
Epoch [65/190], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8218
Epoch [66/190], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8199
Epoch [67/190], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8211
Epoch [68/190], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8196
Epoch [69/190], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8204
Epoch [70/190], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8193
Epoch [71/190], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8199
Epoch [72/190], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8212
Epoch [73/190], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8194
Epoch [74/190], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8215
Epoch [75/190], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8205
Epoch [76/190], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8208
Epoch [77/190], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8208
Epoch [78/190], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8187
Epoch [79/190], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8192
Epoch [80/190], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8197
Epoch [81/190], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8211
Epoch [82/190], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8212
