Files already downloaded and verified
Files already downloaded and verified
ConvNet(
  (conv1): Conv2d(3, 96, kernel_size=(3, 3), stride=(1, 1))
  (bn1): BatchNorm2d(96, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (relu1): ReLU()
  (conv_layers): Sequential(
    (0): Conv2d(96, 96, kernel_size=(3, 3), stride=(1, 1))
    (1): BatchNorm2d(96, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (2): ReLU()
    (3): Conv2d(96, 192, kernel_size=(3, 3), stride=(2, 2))
    (4): BatchNorm2d(192, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (5): ReLU()
    (6): Conv2d(192, 192, kernel_size=(3, 3), stride=(1, 1))
    (7): BatchNorm2d(192, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (8): ReLU()
    (9): Conv2d(192, 384, kernel_size=(3, 3), stride=(2, 2))
    (10): BatchNorm2d(384, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (11): ReLU()
    (12): Conv2d(384, 384, kernel_size=(3, 3), stride=(1, 1))
    (13): BatchNorm2d(384, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (14): ReLU()
    (15): Conv2d(384, 768, kernel_size=(3, 3), stride=(2, 2))
    (16): BatchNorm2d(768, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (17): ReLU()
  )
  (conv2): Conv2d(768, 768, kernel_size=(3, 3), stride=(1, 1))
  (bn2): BatchNorm2d(768, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (relu2): ReLU()
  (final_conv1): Conv2d(768, 768, kernel_size=(1, 1), stride=(1, 1))
  (final_bn1): BatchNorm2d(768, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (relu_final1): ReLU()
  (final_conv2): Conv2d(768, 10, kernel_size=(1, 1), stride=(1, 1))
  (avgpool): AdaptiveAvgPool2d(output_size=(1, 1))
)
Epoch [1/190], Loss: 1.3279, Train Accuracy: 0.5189, Test Accuracy: 0.6319
Epoch [2/190], Loss: 0.8225, Train Accuracy: 0.7109, Test Accuracy: 0.7202
Epoch [3/190], Loss: 0.5913, Train Accuracy: 0.7904, Test Accuracy: 0.7509
Epoch [4/190], Loss: 0.4377, Train Accuracy: 0.8468, Test Accuracy: 0.7557
Epoch [5/190], Loss: 0.3113, Train Accuracy: 0.8904, Test Accuracy: 0.7659
Epoch [6/190], Loss: 0.2139, Train Accuracy: 0.9249, Test Accuracy: 0.7664
Epoch [7/190], Loss: 0.1412, Train Accuracy: 0.9512, Test Accuracy: 0.7594
Epoch [8/190], Loss: 0.0961, Train Accuracy: 0.9665, Test Accuracy: 0.7769
Epoch [9/190], Loss: 0.0800, Train Accuracy: 0.9722, Test Accuracy: 0.7796
Epoch [10/190], Loss: 0.0643, Train Accuracy: 0.9779, Test Accuracy: 0.7748
Epoch [11/190], Loss: 0.0435, Train Accuracy: 0.9857, Test Accuracy: 0.7818
Epoch [12/190], Loss: 0.0331, Train Accuracy: 0.9885, Test Accuracy: 0.7846
Epoch [13/190], Loss: 0.0328, Train Accuracy: 0.9889, Test Accuracy: 0.7861
Epoch [14/190], Loss: 0.0234, Train Accuracy: 0.9925, Test Accuracy: 0.7982
Epoch [15/190], Loss: 0.0160, Train Accuracy: 0.9948, Test Accuracy: 0.7958
Epoch [16/190], Loss: 0.0131, Train Accuracy: 0.9957, Test Accuracy: 0.7971
Epoch [17/190], Loss: 0.0115, Train Accuracy: 0.9963, Test Accuracy: 0.8014
Epoch [18/190], Loss: 0.0069, Train Accuracy: 0.9981, Test Accuracy: 0.8056
Epoch [19/190], Loss: 0.0050, Train Accuracy: 0.9986, Test Accuracy: 0.8061
Epoch [20/190], Loss: 0.0029, Train Accuracy: 0.9993, Test Accuracy: 0.8143
Epoch [21/190], Loss: 0.0011, Train Accuracy: 0.9998, Test Accuracy: 0.8134
Epoch [22/190], Loss: 0.0003, Train Accuracy: 1.0000, Test Accuracy: 0.8132
