Files already downloaded and verified
Files already downloaded and verified
ConvNet(
  (conv1): Conv2d(3, 96, kernel_size=(3, 3), stride=(1, 1))
  (bn1): BatchNorm2d(96, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (relu1): ReLU()
  (conv_layers): Sequential(
    (0): Conv2d(96, 96, kernel_size=(3, 3), stride=(1, 1))
    (1): BatchNorm2d(96, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (2): ReLU()
    (3): Conv2d(96, 192, kernel_size=(3, 3), stride=(2, 2))
    (4): BatchNorm2d(192, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (5): ReLU()
    (6): Conv2d(192, 192, kernel_size=(3, 3), stride=(1, 1))
    (7): BatchNorm2d(192, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (8): ReLU()
    (9): Conv2d(192, 384, kernel_size=(3, 3), stride=(2, 2))
    (10): BatchNorm2d(384, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (11): ReLU()
    (12): Conv2d(384, 384, kernel_size=(3, 3), stride=(1, 1))
    (13): BatchNorm2d(384, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (14): ReLU()
    (15): Conv2d(384, 768, kernel_size=(3, 3), stride=(2, 2))
    (16): BatchNorm2d(768, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (17): ReLU()
  )
  (conv2): Conv2d(768, 768, kernel_size=(3, 3), stride=(1, 1))
  (bn2): BatchNorm2d(768, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (relu2): ReLU()
  (final_conv1): Conv2d(768, 768, kernel_size=(1, 1), stride=(1, 1))
  (final_bn1): BatchNorm2d(768, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (relu_final1): ReLU()
  (final_conv2): Conv2d(768, 10, kernel_size=(1, 1), stride=(1, 1))
  (avgpool): AdaptiveAvgPool2d(output_size=(1, 1))
)
Epoch [1/210], Loss: 1.3125, Train Accuracy: 0.5255, Test Accuracy: 0.6190
Epoch [2/210], Loss: 0.8084, Train Accuracy: 0.7166, Test Accuracy: 0.7302
Epoch [3/210], Loss: 0.5834, Train Accuracy: 0.7943, Test Accuracy: 0.7562
Epoch [4/210], Loss: 0.4249, Train Accuracy: 0.8512, Test Accuracy: 0.7635
Epoch [5/210], Loss: 0.3090, Train Accuracy: 0.8915, Test Accuracy: 0.7741
Epoch [6/210], Loss: 0.2036, Train Accuracy: 0.9289, Test Accuracy: 0.7567
Epoch [7/210], Loss: 0.1402, Train Accuracy: 0.9509, Test Accuracy: 0.7671
Epoch [8/210], Loss: 0.1119, Train Accuracy: 0.9601, Test Accuracy: 0.7715
Epoch [9/210], Loss: 0.0752, Train Accuracy: 0.9733, Test Accuracy: 0.7700
Epoch [10/210], Loss: 0.0652, Train Accuracy: 0.9774, Test Accuracy: 0.7844
Epoch [11/210], Loss: 0.0392, Train Accuracy: 0.9864, Test Accuracy: 0.7877
Epoch [12/210], Loss: 0.0260, Train Accuracy: 0.9917, Test Accuracy: 0.7924
Epoch [13/210], Loss: 0.0233, Train Accuracy: 0.9926, Test Accuracy: 0.7929
Epoch [14/210], Loss: 0.0187, Train Accuracy: 0.9942, Test Accuracy: 0.7945
Epoch [15/210], Loss: 0.0100, Train Accuracy: 0.9971, Test Accuracy: 0.7987
Epoch [16/210], Loss: 0.0050, Train Accuracy: 0.9988, Test Accuracy: 0.8053
Epoch [17/210], Loss: 0.0026, Train Accuracy: 0.9995, Test Accuracy: 0.8147
Epoch [18/210], Loss: 0.0010, Train Accuracy: 0.9998, Test Accuracy: 0.8149
Epoch [19/210], Loss: 0.0005, Train Accuracy: 1.0000, Test Accuracy: 0.8179
Epoch [20/210], Loss: 0.0003, Train Accuracy: 1.0000, Test Accuracy: 0.8177
Epoch [21/210], Loss: 0.0002, Train Accuracy: 1.0000, Test Accuracy: 0.8176
Epoch [22/210], Loss: 0.0002, Train Accuracy: 1.0000, Test Accuracy: 0.8180
Epoch [23/210], Loss: 0.0002, Train Accuracy: 1.0000, Test Accuracy: 0.8201
Epoch [24/210], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8196
Epoch [25/210], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8212
Epoch [26/210], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8200
Epoch [27/210], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8209
Epoch [28/210], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8202
Epoch [29/210], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8213
Epoch [30/210], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8222
Epoch [31/210], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8210
Epoch [32/210], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8206
Epoch [33/210], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8212
Epoch [34/210], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8223
Epoch [35/210], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8213
Epoch [36/210], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8226
Epoch [37/210], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8219
Epoch [38/210], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8187
Epoch [39/210], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8213
Epoch [40/210], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8211
Epoch [41/210], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8192
Epoch [42/210], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8193
Epoch [43/210], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8196
Epoch [44/210], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8212
Epoch [45/210], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8214
Epoch [46/210], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8219
Epoch [47/210], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8202
Epoch [48/210], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8222
Epoch [49/210], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8212
Epoch [50/210], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8219
Epoch [51/210], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8217
Epoch [52/210], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8224
Epoch [53/210], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8225
Epoch [54/210], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8216
Epoch [55/210], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8214
Epoch [56/210], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8210
Epoch [57/210], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8210
Epoch [58/210], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8220
Epoch [59/210], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8215
