Files already downloaded and verified
Files already downloaded and verified
ConvNet(
  (conv1): Conv2d(3, 96, kernel_size=(3, 3), stride=(1, 1))
  (bn1): BatchNorm2d(96, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (relu1): ReLU()
  (conv_layers): Sequential(
    (0): Conv2d(96, 96, kernel_size=(3, 3), stride=(1, 1))
    (1): BatchNorm2d(96, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (2): ReLU()
    (3): Conv2d(96, 192, kernel_size=(3, 3), stride=(2, 2))
    (4): BatchNorm2d(192, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (5): ReLU()
    (6): Conv2d(192, 192, kernel_size=(3, 3), stride=(1, 1))
    (7): BatchNorm2d(192, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (8): ReLU()
    (9): Conv2d(192, 384, kernel_size=(3, 3), stride=(2, 2))
    (10): BatchNorm2d(384, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (11): ReLU()
    (12): Conv2d(384, 384, kernel_size=(3, 3), stride=(1, 1))
    (13): BatchNorm2d(384, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (14): ReLU()
    (15): Conv2d(384, 768, kernel_size=(3, 3), stride=(2, 2))
    (16): BatchNorm2d(768, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (17): ReLU()
  )
  (conv2): Conv2d(768, 768, kernel_size=(3, 3), stride=(1, 1))
  (bn2): BatchNorm2d(768, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (relu2): ReLU()
  (final_conv1): Conv2d(768, 768, kernel_size=(1, 1), stride=(1, 1))
  (final_bn1): BatchNorm2d(768, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (relu_final1): ReLU()
  (final_conv2): Conv2d(768, 10, kernel_size=(1, 1), stride=(1, 1))
  (avgpool): AdaptiveAvgPool2d(output_size=(1, 1))
)
Epoch [1/210], Loss: 1.3531, Train Accuracy: 0.5076, Test Accuracy: 0.6292
Epoch [2/210], Loss: 0.8513, Train Accuracy: 0.6980, Test Accuracy: 0.7190
Epoch [3/210], Loss: 0.6179, Train Accuracy: 0.7837, Test Accuracy: 0.7563
Epoch [4/210], Loss: 0.4504, Train Accuracy: 0.8433, Test Accuracy: 0.7671
Epoch [5/210], Loss: 0.3226, Train Accuracy: 0.8873, Test Accuracy: 0.7714
Epoch [6/210], Loss: 0.2238, Train Accuracy: 0.9228, Test Accuracy: 0.7830
Epoch [7/210], Loss: 0.1551, Train Accuracy: 0.9453, Test Accuracy: 0.7552
Epoch [8/210], Loss: 0.1101, Train Accuracy: 0.9615, Test Accuracy: 0.7773
Epoch [9/210], Loss: 0.0815, Train Accuracy: 0.9714, Test Accuracy: 0.7702
Epoch [10/210], Loss: 0.0612, Train Accuracy: 0.9793, Test Accuracy: 0.7765
Epoch [11/210], Loss: 0.0471, Train Accuracy: 0.9842, Test Accuracy: 0.7858
Epoch [12/210], Loss: 0.0304, Train Accuracy: 0.9904, Test Accuracy: 0.7924
Epoch [13/210], Loss: 0.0272, Train Accuracy: 0.9909, Test Accuracy: 0.7965
Epoch [14/210], Loss: 0.0204, Train Accuracy: 0.9935, Test Accuracy: 0.7950
Epoch [15/210], Loss: 0.0253, Train Accuracy: 0.9914, Test Accuracy: 0.7886
Epoch [16/210], Loss: 0.0257, Train Accuracy: 0.9911, Test Accuracy: 0.7894
Epoch [17/210], Loss: 0.0238, Train Accuracy: 0.9917, Test Accuracy: 0.7888
Epoch [18/210], Loss: 0.0240, Train Accuracy: 0.9913, Test Accuracy: 0.7952
Epoch [19/210], Loss: 0.0109, Train Accuracy: 0.9964, Test Accuracy: 0.7997
Epoch [20/210], Loss: 0.0057, Train Accuracy: 0.9983, Test Accuracy: 0.8064
Epoch [21/210], Loss: 0.0033, Train Accuracy: 0.9992, Test Accuracy: 0.8104
Epoch [22/210], Loss: 0.0013, Train Accuracy: 0.9998, Test Accuracy: 0.8125
