Files already downloaded and verified
Files already downloaded and verified
ConvNet(
  (conv1): Conv2d(3, 96, kernel_size=(3, 3), stride=(1, 1))
  (bn1): BatchNorm2d(96, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (relu1): ReLU()
  (conv_layers): Sequential(
    (0): Conv2d(96, 96, kernel_size=(3, 3), stride=(1, 1))
    (1): BatchNorm2d(96, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (2): ReLU()
    (3): Conv2d(96, 192, kernel_size=(3, 3), stride=(2, 2))
    (4): BatchNorm2d(192, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (5): ReLU()
    (6): Conv2d(192, 192, kernel_size=(3, 3), stride=(1, 1))
    (7): BatchNorm2d(192, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (8): ReLU()
    (9): Conv2d(192, 384, kernel_size=(3, 3), stride=(2, 2))
    (10): BatchNorm2d(384, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (11): ReLU()
    (12): Conv2d(384, 384, kernel_size=(3, 3), stride=(1, 1))
    (13): BatchNorm2d(384, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (14): ReLU()
    (15): Conv2d(384, 768, kernel_size=(3, 3), stride=(2, 2))
    (16): BatchNorm2d(768, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (17): ReLU()
  )
  (conv2): Conv2d(768, 768, kernel_size=(3, 3), stride=(1, 1))
  (bn2): BatchNorm2d(768, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (relu2): ReLU()
  (final_conv1): Conv2d(768, 768, kernel_size=(1, 1), stride=(1, 1))
  (final_bn1): BatchNorm2d(768, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (relu_final1): ReLU()
  (final_conv2): Conv2d(768, 10, kernel_size=(1, 1), stride=(1, 1))
  (avgpool): AdaptiveAvgPool2d(output_size=(1, 1))
)
Epoch [1/240], Loss: 1.3224, Train Accuracy: 0.5180, Test Accuracy: 0.6132
Epoch [2/240], Loss: 0.8122, Train Accuracy: 0.7142, Test Accuracy: 0.7308
Epoch [3/240], Loss: 0.5849, Train Accuracy: 0.7964, Test Accuracy: 0.7454
Epoch [4/240], Loss: 0.4250, Train Accuracy: 0.8500, Test Accuracy: 0.7418
Epoch [5/240], Loss: 0.3026, Train Accuracy: 0.8931, Test Accuracy: 0.7589
Epoch [6/240], Loss: 0.2036, Train Accuracy: 0.9277, Test Accuracy: 0.7546
Epoch [7/240], Loss: 0.1435, Train Accuracy: 0.9492, Test Accuracy: 0.7414
Epoch [8/240], Loss: 0.0939, Train Accuracy: 0.9675, Test Accuracy: 0.7736
Epoch [9/240], Loss: 0.0715, Train Accuracy: 0.9755, Test Accuracy: 0.7775
Epoch [10/240], Loss: 0.0641, Train Accuracy: 0.9775, Test Accuracy: 0.7845
Epoch [11/240], Loss: 0.0384, Train Accuracy: 0.9876, Test Accuracy: 0.7865
Epoch [12/240], Loss: 0.0269, Train Accuracy: 0.9907, Test Accuracy: 0.7936
Epoch [13/240], Loss: 0.0232, Train Accuracy: 0.9925, Test Accuracy: 0.7984
Epoch [14/240], Loss: 0.0217, Train Accuracy: 0.9926, Test Accuracy: 0.7922
Epoch [15/240], Loss: 0.0293, Train Accuracy: 0.9898, Test Accuracy: 0.7919
Epoch [16/240], Loss: 0.0238, Train Accuracy: 0.9918, Test Accuracy: 0.7950
Epoch [17/240], Loss: 0.0146, Train Accuracy: 0.9954, Test Accuracy: 0.7963
Epoch [18/240], Loss: 0.0140, Train Accuracy: 0.9955, Test Accuracy: 0.7970
Epoch [19/240], Loss: 0.0075, Train Accuracy: 0.9978, Test Accuracy: 0.8028
Epoch [20/240], Loss: 0.0037, Train Accuracy: 0.9991, Test Accuracy: 0.8091
Epoch [21/240], Loss: 0.0019, Train Accuracy: 0.9995, Test Accuracy: 0.8153
Epoch [22/240], Loss: 0.0005, Train Accuracy: 1.0000, Test Accuracy: 0.8204
