Files already downloaded and verified
Files already downloaded and verified
ConvNet(
  (conv1): Conv2d(3, 96, kernel_size=(3, 3), stride=(1, 1))
  (bn1): BatchNorm2d(96, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (relu1): ReLU()
  (conv_layers): Sequential(
    (0): Conv2d(96, 96, kernel_size=(3, 3), stride=(1, 1))
    (1): BatchNorm2d(96, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (2): ReLU()
    (3): Conv2d(96, 192, kernel_size=(3, 3), stride=(2, 2))
    (4): BatchNorm2d(192, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (5): ReLU()
    (6): Conv2d(192, 192, kernel_size=(3, 3), stride=(1, 1))
    (7): BatchNorm2d(192, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (8): ReLU()
    (9): Conv2d(192, 384, kernel_size=(3, 3), stride=(2, 2))
    (10): BatchNorm2d(384, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (11): ReLU()
    (12): Conv2d(384, 384, kernel_size=(3, 3), stride=(1, 1))
    (13): BatchNorm2d(384, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (14): ReLU()
    (15): Conv2d(384, 768, kernel_size=(3, 3), stride=(2, 2))
    (16): BatchNorm2d(768, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (17): ReLU()
  )
  (conv2): Conv2d(768, 768, kernel_size=(3, 3), stride=(1, 1))
  (bn2): BatchNorm2d(768, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (relu2): ReLU()
  (final_conv1): Conv2d(768, 768, kernel_size=(1, 1), stride=(1, 1))
  (final_bn1): BatchNorm2d(768, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (relu_final1): ReLU()
  (final_conv2): Conv2d(768, 10, kernel_size=(1, 1), stride=(1, 1))
  (avgpool): AdaptiveAvgPool2d(output_size=(1, 1))
)
Epoch [1/240], Loss: 1.3524, Train Accuracy: 0.5104, Test Accuracy: 0.6345
Epoch [2/240], Loss: 0.8430, Train Accuracy: 0.7022, Test Accuracy: 0.7053
Epoch [3/240], Loss: 0.6019, Train Accuracy: 0.7881, Test Accuracy: 0.7592
Epoch [4/240], Loss: 0.4324, Train Accuracy: 0.8498, Test Accuracy: 0.7686
Epoch [5/240], Loss: 0.3084, Train Accuracy: 0.8924, Test Accuracy: 0.7661
Epoch [6/240], Loss: 0.2115, Train Accuracy: 0.9265, Test Accuracy: 0.7716
Epoch [7/240], Loss: 0.1448, Train Accuracy: 0.9492, Test Accuracy: 0.7782
Epoch [8/240], Loss: 0.0981, Train Accuracy: 0.9659, Test Accuracy: 0.7738
Epoch [9/240], Loss: 0.0666, Train Accuracy: 0.9777, Test Accuracy: 0.7703
Epoch [10/240], Loss: 0.0636, Train Accuracy: 0.9778, Test Accuracy: 0.7763
Epoch [11/240], Loss: 0.0514, Train Accuracy: 0.9822, Test Accuracy: 0.7729
Epoch [12/240], Loss: 0.0378, Train Accuracy: 0.9871, Test Accuracy: 0.7886
Epoch [13/240], Loss: 0.0264, Train Accuracy: 0.9913, Test Accuracy: 0.7919
Epoch [14/240], Loss: 0.0147, Train Accuracy: 0.9953, Test Accuracy: 0.7922
Epoch [15/240], Loss: 0.0081, Train Accuracy: 0.9978, Test Accuracy: 0.8008
Epoch [16/240], Loss: 0.0036, Train Accuracy: 0.9992, Test Accuracy: 0.8069
Epoch [17/240], Loss: 0.0018, Train Accuracy: 0.9997, Test Accuracy: 0.8133
Epoch [18/240], Loss: 0.0019, Train Accuracy: 0.9996, Test Accuracy: 0.8096
Epoch [19/240], Loss: 0.0004, Train Accuracy: 1.0000, Test Accuracy: 0.8133
Epoch [20/240], Loss: 0.0002, Train Accuracy: 1.0000, Test Accuracy: 0.8141
Epoch [21/240], Loss: 0.0002, Train Accuracy: 1.0000, Test Accuracy: 0.8148
Epoch [22/240], Loss: 0.0002, Train Accuracy: 1.0000, Test Accuracy: 0.8146
Epoch [23/240], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8145
Epoch [24/240], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8136
Epoch [25/240], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8143
Epoch [26/240], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8135
Epoch [27/240], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8154
Epoch [28/240], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8152
Epoch [29/240], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8150
Epoch [30/240], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8145
Epoch [31/240], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8144
Epoch [32/240], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8144
Epoch [33/240], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8145
Epoch [34/240], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8149
Epoch [35/240], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8147
Epoch [36/240], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8140
Epoch [37/240], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8132
Epoch [38/240], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8155
Epoch [39/240], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8133
Epoch [40/240], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8146
Epoch [41/240], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8136
Epoch [42/240], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8139
Epoch [43/240], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8142
Epoch [44/240], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8131
Epoch [45/240], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8143
Epoch [46/240], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8143
Epoch [47/240], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8134
Epoch [48/240], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8150
Epoch [49/240], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8142
Epoch [50/240], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8138
Epoch [51/240], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8140
Epoch [52/240], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8152
Epoch [53/240], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8139
Epoch [54/240], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8146
Epoch [55/240], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8144
Epoch [56/240], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8146
Epoch [57/240], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8153
Epoch [58/240], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8139
Epoch [59/240], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8146
Epoch [60/240], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8139
