Files already downloaded and verified
Files already downloaded and verified
ConvNet(
  (conv1): Conv2d(3, 96, kernel_size=(3, 3), stride=(1, 1))
  (bn1): BatchNorm2d(96, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (relu1): ReLU()
  (conv_layers): Sequential(
    (0): Conv2d(96, 96, kernel_size=(3, 3), stride=(1, 1))
    (1): BatchNorm2d(96, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (2): ReLU()
    (3): Conv2d(96, 192, kernel_size=(3, 3), stride=(2, 2))
    (4): BatchNorm2d(192, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (5): ReLU()
    (6): Conv2d(192, 192, kernel_size=(3, 3), stride=(1, 1))
    (7): BatchNorm2d(192, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (8): ReLU()
    (9): Conv2d(192, 384, kernel_size=(3, 3), stride=(2, 2))
    (10): BatchNorm2d(384, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (11): ReLU()
    (12): Conv2d(384, 384, kernel_size=(3, 3), stride=(1, 1))
    (13): BatchNorm2d(384, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (14): ReLU()
    (15): Conv2d(384, 768, kernel_size=(3, 3), stride=(2, 2))
    (16): BatchNorm2d(768, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (17): ReLU()
  )
  (conv2): Conv2d(768, 768, kernel_size=(3, 3), stride=(1, 1))
  (bn2): BatchNorm2d(768, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (relu2): ReLU()
  (final_conv1): Conv2d(768, 768, kernel_size=(1, 1), stride=(1, 1))
  (final_bn1): BatchNorm2d(768, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (relu_final1): ReLU()
  (final_conv2): Conv2d(768, 10, kernel_size=(1, 1), stride=(1, 1))
  (avgpool): AdaptiveAvgPool2d(output_size=(1, 1))
)
Epoch [1/145], Loss: 1.3379, Train Accuracy: 0.5165, Test Accuracy: 0.6470
Epoch [2/145], Loss: 0.8292, Train Accuracy: 0.7066, Test Accuracy: 0.7123
Epoch [3/145], Loss: 0.5969, Train Accuracy: 0.7888, Test Accuracy: 0.7461
Epoch [4/145], Loss: 0.4416, Train Accuracy: 0.8456, Test Accuracy: 0.7726
Epoch [5/145], Loss: 0.3057, Train Accuracy: 0.8925, Test Accuracy: 0.7786
Epoch [6/145], Loss: 0.1787, Train Accuracy: 0.9393, Test Accuracy: 0.7690
Epoch [7/145], Loss: 0.0887, Train Accuracy: 0.9712, Test Accuracy: 0.7697
Epoch [8/145], Loss: 0.0686, Train Accuracy: 0.9773, Test Accuracy: 0.7809
Epoch [9/145], Loss: 0.0367, Train Accuracy: 0.9885, Test Accuracy: 0.7765
Epoch [10/145], Loss: 0.0226, Train Accuracy: 0.9934, Test Accuracy: 0.7825
Epoch [11/145], Loss: 0.0146, Train Accuracy: 0.9964, Test Accuracy: 0.7939
Epoch [12/145], Loss: 0.0148, Train Accuracy: 0.9958, Test Accuracy: 0.7859
Epoch [13/145], Loss: 0.0192, Train Accuracy: 0.9937, Test Accuracy: 0.7761
Epoch [14/145], Loss: 0.0217, Train Accuracy: 0.9928, Test Accuracy: 0.7870
Epoch [15/145], Loss: 0.0123, Train Accuracy: 0.9964, Test Accuracy: 0.7889
Epoch [16/145], Loss: 0.0086, Train Accuracy: 0.9974, Test Accuracy: 0.7904
Epoch [17/145], Loss: 0.0080, Train Accuracy: 0.9978, Test Accuracy: 0.7912
Epoch [18/145], Loss: 0.0042, Train Accuracy: 0.9990, Test Accuracy: 0.7954
Epoch [19/145], Loss: 0.0025, Train Accuracy: 0.9996, Test Accuracy: 0.8019
Epoch [20/145], Loss: 0.0017, Train Accuracy: 0.9996, Test Accuracy: 0.8025
Epoch [21/145], Loss: 0.0008, Train Accuracy: 0.9999, Test Accuracy: 0.8043
Epoch [22/145], Loss: 0.0003, Train Accuracy: 1.0000, Test Accuracy: 0.8077
Epoch [23/145], Loss: 0.0002, Train Accuracy: 1.0000, Test Accuracy: 0.8081
Epoch [24/145], Loss: 0.0002, Train Accuracy: 1.0000, Test Accuracy: 0.8057
Epoch [25/145], Loss: 0.0002, Train Accuracy: 1.0000, Test Accuracy: 0.8069
Epoch [26/145], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8101
Epoch [27/145], Loss: 0.0002, Train Accuracy: 1.0000, Test Accuracy: 0.8074
Epoch [28/145], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8077
Epoch [29/145], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8091
Epoch [30/145], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8084
Epoch [31/145], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8085
