Files already downloaded and verified
Files already downloaded and verified
ConvNet(
  (conv1): Conv2d(3, 96, kernel_size=(3, 3), stride=(1, 1))
  (bn1): BatchNorm2d(96, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (relu1): ReLU()
  (conv_layers): Sequential(
    (0): Conv2d(96, 96, kernel_size=(3, 3), stride=(1, 1))
    (1): BatchNorm2d(96, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (2): ReLU()
    (3): Conv2d(96, 192, kernel_size=(3, 3), stride=(2, 2))
    (4): BatchNorm2d(192, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (5): ReLU()
    (6): Conv2d(192, 192, kernel_size=(3, 3), stride=(1, 1))
    (7): BatchNorm2d(192, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (8): ReLU()
    (9): Conv2d(192, 384, kernel_size=(3, 3), stride=(2, 2))
    (10): BatchNorm2d(384, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (11): ReLU()
    (12): Conv2d(384, 384, kernel_size=(3, 3), stride=(1, 1))
    (13): BatchNorm2d(384, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (14): ReLU()
    (15): Conv2d(384, 768, kernel_size=(3, 3), stride=(2, 2))
    (16): BatchNorm2d(768, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (17): ReLU()
  )
  (conv2): Conv2d(768, 768, kernel_size=(3, 3), stride=(1, 1))
  (bn2): BatchNorm2d(768, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (relu2): ReLU()
  (final_conv1): Conv2d(768, 768, kernel_size=(1, 1), stride=(1, 1))
  (final_bn1): BatchNorm2d(768, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (relu_final1): ReLU()
  (final_conv2): Conv2d(768, 10, kernel_size=(1, 1), stride=(1, 1))
  (avgpool): AdaptiveAvgPool2d(output_size=(1, 1))
)
Epoch [1/145], Loss: 1.3292, Train Accuracy: 0.5178, Test Accuracy: 0.6119
Epoch [2/145], Loss: 0.8198, Train Accuracy: 0.7118, Test Accuracy: 0.7176
Epoch [3/145], Loss: 0.5898, Train Accuracy: 0.7933, Test Accuracy: 0.7556
Epoch [4/145], Loss: 0.4354, Train Accuracy: 0.8473, Test Accuracy: 0.7713
Epoch [5/145], Loss: 0.3130, Train Accuracy: 0.8905, Test Accuracy: 0.7467
Epoch [6/145], Loss: 0.1841, Train Accuracy: 0.9377, Test Accuracy: 0.7618
Epoch [7/145], Loss: 0.0894, Train Accuracy: 0.9705, Test Accuracy: 0.7752
Epoch [8/145], Loss: 0.0413, Train Accuracy: 0.9872, Test Accuracy: 0.7798
Epoch [9/145], Loss: 0.0326, Train Accuracy: 0.9900, Test Accuracy: 0.7788
Epoch [10/145], Loss: 0.0237, Train Accuracy: 0.9926, Test Accuracy: 0.7714
Epoch [11/145], Loss: 0.0535, Train Accuracy: 0.9818, Test Accuracy: 0.7716
Epoch [12/145], Loss: 0.0545, Train Accuracy: 0.9822, Test Accuracy: 0.7722
Epoch [13/145], Loss: 0.0482, Train Accuracy: 0.9838, Test Accuracy: 0.7818
Epoch [14/145], Loss: 0.0553, Train Accuracy: 0.9813, Test Accuracy: 0.7792
Epoch [15/145], Loss: 0.0165, Train Accuracy: 0.9952, Test Accuracy: 0.7919
Epoch [16/145], Loss: 0.0051, Train Accuracy: 0.9989, Test Accuracy: 0.7950
Epoch [17/145], Loss: 0.0014, Train Accuracy: 1.0000, Test Accuracy: 0.8020
Epoch [18/145], Loss: 0.0008, Train Accuracy: 1.0000, Test Accuracy: 0.8006
Epoch [19/145], Loss: 0.0005, Train Accuracy: 1.0000, Test Accuracy: 0.8019
Epoch [20/145], Loss: 0.0004, Train Accuracy: 1.0000, Test Accuracy: 0.8038
Epoch [21/145], Loss: 0.0003, Train Accuracy: 1.0000, Test Accuracy: 0.8038
Epoch [22/145], Loss: 0.0003, Train Accuracy: 1.0000, Test Accuracy: 0.8036
