Files already downloaded and verified
Files already downloaded and verified
ConvNet(
  (conv1): Conv2d(3, 96, kernel_size=(3, 3), stride=(1, 1))
  (bn1): BatchNorm2d(96, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (relu1): ReLU()
  (conv_layers): Sequential(
    (0): Conv2d(96, 96, kernel_size=(3, 3), stride=(1, 1))
    (1): BatchNorm2d(96, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (2): ReLU()
    (3): Conv2d(96, 192, kernel_size=(3, 3), stride=(2, 2))
    (4): BatchNorm2d(192, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (5): ReLU()
    (6): Conv2d(192, 192, kernel_size=(3, 3), stride=(1, 1))
    (7): BatchNorm2d(192, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (8): ReLU()
    (9): Conv2d(192, 384, kernel_size=(3, 3), stride=(2, 2))
    (10): BatchNorm2d(384, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (11): ReLU()
    (12): Conv2d(384, 384, kernel_size=(3, 3), stride=(1, 1))
    (13): BatchNorm2d(384, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (14): ReLU()
    (15): Conv2d(384, 768, kernel_size=(3, 3), stride=(2, 2))
    (16): BatchNorm2d(768, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (17): ReLU()
  )
  (conv2): Conv2d(768, 768, kernel_size=(3, 3), stride=(1, 1))
  (bn2): BatchNorm2d(768, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (relu2): ReLU()
  (final_conv1): Conv2d(768, 768, kernel_size=(1, 1), stride=(1, 1))
  (final_bn1): BatchNorm2d(768, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (relu_final1): ReLU()
  (final_conv2): Conv2d(768, 10, kernel_size=(1, 1), stride=(1, 1))
  (avgpool): AdaptiveAvgPool2d(output_size=(1, 1))
)
Epoch [1/160], Loss: 1.3411, Train Accuracy: 0.5161, Test Accuracy: 0.6185
Epoch [2/160], Loss: 0.8236, Train Accuracy: 0.7095, Test Accuracy: 0.6802
Epoch [3/160], Loss: 0.5987, Train Accuracy: 0.7918, Test Accuracy: 0.7488
Epoch [4/160], Loss: 0.4464, Train Accuracy: 0.8423, Test Accuracy: 0.7804
Epoch [5/160], Loss: 0.3117, Train Accuracy: 0.8910, Test Accuracy: 0.7742
Epoch [6/160], Loss: 0.2211, Train Accuracy: 0.9213, Test Accuracy: 0.7728
Epoch [7/160], Loss: 0.1492, Train Accuracy: 0.9470, Test Accuracy: 0.7606
Epoch [8/160], Loss: 0.0996, Train Accuracy: 0.9660, Test Accuracy: 0.7848
Epoch [9/160], Loss: 0.0828, Train Accuracy: 0.9716, Test Accuracy: 0.7750
Epoch [10/160], Loss: 0.0647, Train Accuracy: 0.9775, Test Accuracy: 0.7751
Epoch [11/160], Loss: 0.0459, Train Accuracy: 0.9844, Test Accuracy: 0.7871
Epoch [12/160], Loss: 0.0369, Train Accuracy: 0.9876, Test Accuracy: 0.7781
Epoch [13/160], Loss: 0.0354, Train Accuracy: 0.9884, Test Accuracy: 0.7840
Epoch [14/160], Loss: 0.0255, Train Accuracy: 0.9914, Test Accuracy: 0.7914
Epoch [15/160], Loss: 0.0202, Train Accuracy: 0.9935, Test Accuracy: 0.7864
Epoch [16/160], Loss: 0.0195, Train Accuracy: 0.9935, Test Accuracy: 0.7958
Epoch [17/160], Loss: 0.0144, Train Accuracy: 0.9957, Test Accuracy: 0.8000
Epoch [18/160], Loss: 0.0072, Train Accuracy: 0.9980, Test Accuracy: 0.7968
Epoch [19/160], Loss: 0.0045, Train Accuracy: 0.9988, Test Accuracy: 0.7955
Epoch [20/160], Loss: 0.0027, Train Accuracy: 0.9993, Test Accuracy: 0.8048
Epoch [21/160], Loss: 0.0014, Train Accuracy: 0.9997, Test Accuracy: 0.8063
Epoch [22/160], Loss: 0.0007, Train Accuracy: 0.9999, Test Accuracy: 0.8095
Epoch [23/160], Loss: 0.0003, Train Accuracy: 1.0000, Test Accuracy: 0.8106
Epoch [24/160], Loss: 0.0002, Train Accuracy: 1.0000, Test Accuracy: 0.8113
Epoch [25/160], Loss: 0.0002, Train Accuracy: 1.0000, Test Accuracy: 0.8127
Epoch [26/160], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8116
Epoch [27/160], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8122
Epoch [28/160], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8122
