Files already downloaded and verified
Files already downloaded and verified
ConvNet(
  (conv1): Conv2d(3, 96, kernel_size=(3, 3), stride=(1, 1))
  (bn1): BatchNorm2d(96, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (relu1): ReLU()
  (conv_layers): Sequential(
    (0): Conv2d(96, 96, kernel_size=(3, 3), stride=(1, 1))
    (1): BatchNorm2d(96, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (2): ReLU()
    (3): Conv2d(96, 192, kernel_size=(3, 3), stride=(2, 2))
    (4): BatchNorm2d(192, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (5): ReLU()
    (6): Conv2d(192, 192, kernel_size=(3, 3), stride=(1, 1))
    (7): BatchNorm2d(192, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (8): ReLU()
    (9): Conv2d(192, 384, kernel_size=(3, 3), stride=(2, 2))
    (10): BatchNorm2d(384, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (11): ReLU()
    (12): Conv2d(384, 384, kernel_size=(3, 3), stride=(1, 1))
    (13): BatchNorm2d(384, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (14): ReLU()
    (15): Conv2d(384, 768, kernel_size=(3, 3), stride=(2, 2))
    (16): BatchNorm2d(768, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (17): ReLU()
  )
  (conv2): Conv2d(768, 768, kernel_size=(3, 3), stride=(1, 1))
  (bn2): BatchNorm2d(768, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (relu2): ReLU()
  (final_conv1): Conv2d(768, 768, kernel_size=(1, 1), stride=(1, 1))
  (final_bn1): BatchNorm2d(768, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (relu_final1): ReLU()
  (final_conv2): Conv2d(768, 10, kernel_size=(1, 1), stride=(1, 1))
  (avgpool): AdaptiveAvgPool2d(output_size=(1, 1))
)
Epoch [1/160], Loss: 1.3364, Train Accuracy: 0.5147, Test Accuracy: 0.6292
Epoch [2/160], Loss: 0.8271, Train Accuracy: 0.7077, Test Accuracy: 0.7134
Epoch [3/160], Loss: 0.5918, Train Accuracy: 0.7920, Test Accuracy: 0.7553
Epoch [4/160], Loss: 0.4362, Train Accuracy: 0.8462, Test Accuracy: 0.7610
Epoch [5/160], Loss: 0.3093, Train Accuracy: 0.8920, Test Accuracy: 0.7428
Epoch [6/160], Loss: 0.2129, Train Accuracy: 0.9248, Test Accuracy: 0.7702
Epoch [7/160], Loss: 0.1504, Train Accuracy: 0.9469, Test Accuracy: 0.7680
Epoch [8/160], Loss: 0.0972, Train Accuracy: 0.9671, Test Accuracy: 0.7798
Epoch [9/160], Loss: 0.0811, Train Accuracy: 0.9722, Test Accuracy: 0.7778
Epoch [10/160], Loss: 0.0630, Train Accuracy: 0.9786, Test Accuracy: 0.7858
Epoch [11/160], Loss: 0.0400, Train Accuracy: 0.9866, Test Accuracy: 0.7859
Epoch [12/160], Loss: 0.0339, Train Accuracy: 0.9886, Test Accuracy: 0.7972
Epoch [13/160], Loss: 0.0189, Train Accuracy: 0.9938, Test Accuracy: 0.7896
Epoch [14/160], Loss: 0.0126, Train Accuracy: 0.9962, Test Accuracy: 0.7956
Epoch [15/160], Loss: 0.0110, Train Accuracy: 0.9966, Test Accuracy: 0.7931
Epoch [16/160], Loss: 0.0262, Train Accuracy: 0.9909, Test Accuracy: 0.7930
Epoch [17/160], Loss: 0.0227, Train Accuracy: 0.9925, Test Accuracy: 0.7987
Epoch [18/160], Loss: 0.0151, Train Accuracy: 0.9950, Test Accuracy: 0.7945
Epoch [19/160], Loss: 0.0133, Train Accuracy: 0.9956, Test Accuracy: 0.7965
Epoch [20/160], Loss: 0.0096, Train Accuracy: 0.9968, Test Accuracy: 0.8032
Epoch [21/160], Loss: 0.0062, Train Accuracy: 0.9983, Test Accuracy: 0.8057
Epoch [22/160], Loss: 0.0033, Train Accuracy: 0.9992, Test Accuracy: 0.8084
Epoch [23/160], Loss: 0.0010, Train Accuracy: 1.0000, Test Accuracy: 0.8093
Epoch [24/160], Loss: 0.0005, Train Accuracy: 0.9999, Test Accuracy: 0.8130
Epoch [25/160], Loss: 0.0004, Train Accuracy: 1.0000, Test Accuracy: 0.8148
Epoch [26/160], Loss: 0.0004, Train Accuracy: 1.0000, Test Accuracy: 0.8143
Epoch [27/160], Loss: 0.0002, Train Accuracy: 1.0000, Test Accuracy: 0.8132
Epoch [28/160], Loss: 0.0002, Train Accuracy: 1.0000, Test Accuracy: 0.8152
Epoch [29/160], Loss: 0.0002, Train Accuracy: 1.0000, Test Accuracy: 0.8154
Epoch [30/160], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8151
Epoch [31/160], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8152
Epoch [32/160], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8164
Epoch [33/160], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8156
Epoch [34/160], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8156
Epoch [35/160], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8168
Epoch [36/160], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8163
Epoch [37/160], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8169
Epoch [38/160], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8167
Epoch [39/160], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8158
Epoch [40/160], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8167
Epoch [41/160], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8169
Epoch [42/160], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8179
Epoch [43/160], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8169
Epoch [44/160], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8170
Epoch [45/160], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8166
Epoch [46/160], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8161
Epoch [47/160], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8178
Epoch [48/160], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8162
Epoch [49/160], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8164
Epoch [50/160], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8170
Epoch [51/160], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8175
Epoch [52/160], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8168
Epoch [53/160], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8174
Epoch [54/160], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8167
Epoch [55/160], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8178
Epoch [56/160], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8169
Epoch [57/160], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8178
Epoch [58/160], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8170
Epoch [59/160], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8188
Epoch [60/160], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8165
Epoch [61/160], Loss: 0.0005, Train Accuracy: 1.0000, Test Accuracy: 0.8157
Epoch [62/160], Loss: 0.0003, Train Accuracy: 1.0000, Test Accuracy: 0.8150
Epoch [63/160], Loss: 0.0004, Train Accuracy: 0.9999, Test Accuracy: 0.8150
Epoch [64/160], Loss: 0.0002, Train Accuracy: 1.0000, Test Accuracy: 0.8177
Epoch [65/160], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8160
Epoch [66/160], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8164
Epoch [67/160], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8168
Epoch [68/160], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8169
Epoch [69/160], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8181
Epoch [70/160], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8177
Epoch [71/160], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8181
Epoch [72/160], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8176
Epoch [73/160], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8179
Epoch [74/160], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8170
Epoch [75/160], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8171
Epoch [76/160], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8167
Epoch [77/160], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8183
Epoch [78/160], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8173
Epoch [79/160], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8171
Epoch [80/160], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8179
Epoch [81/160], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8183
Epoch [82/160], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8180
Epoch [83/160], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8168
Epoch [84/160], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8187
Epoch [85/160], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8197
Epoch [86/160], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8182
Epoch [87/160], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8186
Epoch [88/160], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8193
Epoch [89/160], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8184
Epoch [90/160], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8197
Epoch [91/160], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8198
Epoch [92/160], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8199
Epoch [93/160], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8188
Epoch [94/160], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8186
Epoch [95/160], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8202
Epoch [96/160], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8184
Epoch [97/160], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8179
Epoch [98/160], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8196
Epoch [99/160], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8194
Epoch [100/160], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8185
Epoch [101/160], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8200
Epoch [102/160], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8187
Epoch [103/160], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8200
Epoch [104/160], Loss: 0.0000, Train Accuracy: 1.0000, Test Accuracy: 0.8193
