Files already downloaded and verified
Files already downloaded and verified
ConvNet(
  (conv1): Conv2d(3, 96, kernel_size=(3, 3), stride=(1, 1))
  (bn1): BatchNorm2d(96, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (relu1): ReLU()
  (conv_layers): Sequential(
    (0): Conv2d(96, 96, kernel_size=(3, 3), stride=(1, 1))
    (1): BatchNorm2d(96, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (2): ReLU()
    (3): Conv2d(96, 192, kernel_size=(3, 3), stride=(2, 2))
    (4): BatchNorm2d(192, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (5): ReLU()
    (6): Conv2d(192, 192, kernel_size=(3, 3), stride=(1, 1))
    (7): BatchNorm2d(192, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (8): ReLU()
    (9): Conv2d(192, 384, kernel_size=(3, 3), stride=(2, 2))
    (10): BatchNorm2d(384, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (11): ReLU()
    (12): Conv2d(384, 384, kernel_size=(3, 3), stride=(1, 1))
    (13): BatchNorm2d(384, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (14): ReLU()
    (15): Conv2d(384, 768, kernel_size=(3, 3), stride=(2, 2))
    (16): BatchNorm2d(768, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (17): ReLU()
  )
  (conv2): Conv2d(768, 768, kernel_size=(3, 3), stride=(1, 1))
  (bn2): BatchNorm2d(768, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (relu2): ReLU()
  (final_conv1): Conv2d(768, 768, kernel_size=(1, 1), stride=(1, 1))
  (final_bn1): BatchNorm2d(768, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (relu_final1): ReLU()
  (final_conv2): Conv2d(768, 10, kernel_size=(1, 1), stride=(1, 1))
  (avgpool): AdaptiveAvgPool2d(output_size=(1, 1))
)
Epoch [1/160], Loss: 1.3425, Train Accuracy: 0.5134, Test Accuracy: 0.6145
Epoch [2/160], Loss: 0.8256, Train Accuracy: 0.7090, Test Accuracy: 0.7296
Epoch [3/160], Loss: 0.5963, Train Accuracy: 0.7904, Test Accuracy: 0.7585
Epoch [4/160], Loss: 0.4327, Train Accuracy: 0.8488, Test Accuracy: 0.7668
Epoch [5/160], Loss: 0.3076, Train Accuracy: 0.8933, Test Accuracy: 0.7783
Epoch [6/160], Loss: 0.2176, Train Accuracy: 0.9250, Test Accuracy: 0.7622
Epoch [7/160], Loss: 0.1424, Train Accuracy: 0.9502, Test Accuracy: 0.7682
Epoch [8/160], Loss: 0.1035, Train Accuracy: 0.9644, Test Accuracy: 0.7781
Epoch [9/160], Loss: 0.0788, Train Accuracy: 0.9722, Test Accuracy: 0.7659
Epoch [10/160], Loss: 0.0532, Train Accuracy: 0.9822, Test Accuracy: 0.7759
Epoch [11/160], Loss: 0.0509, Train Accuracy: 0.9824, Test Accuracy: 0.7846
Epoch [12/160], Loss: 0.0285, Train Accuracy: 0.9903, Test Accuracy: 0.7922
Epoch [13/160], Loss: 0.0231, Train Accuracy: 0.9923, Test Accuracy: 0.7923
Epoch [14/160], Loss: 0.0282, Train Accuracy: 0.9904, Test Accuracy: 0.7884
Epoch [15/160], Loss: 0.0232, Train Accuracy: 0.9920, Test Accuracy: 0.7907
Epoch [16/160], Loss: 0.0210, Train Accuracy: 0.9932, Test Accuracy: 0.7895
Epoch [17/160], Loss: 0.0154, Train Accuracy: 0.9949, Test Accuracy: 0.7993
Epoch [18/160], Loss: 0.0093, Train Accuracy: 0.9971, Test Accuracy: 0.7972
Epoch [19/160], Loss: 0.0049, Train Accuracy: 0.9987, Test Accuracy: 0.8058
Epoch [20/160], Loss: 0.0020, Train Accuracy: 0.9997, Test Accuracy: 0.8100
Epoch [21/160], Loss: 0.0010, Train Accuracy: 0.9998, Test Accuracy: 0.8101
Epoch [22/160], Loss: 0.0007, Train Accuracy: 0.9999, Test Accuracy: 0.8148
