Files already downloaded and verified
Files already downloaded and verified
ConvNet(
  (conv1): Conv2d(3, 96, kernel_size=(3, 3), stride=(1, 1))
  (bn1): BatchNorm2d(96, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (relu1): ReLU()
  (conv_layers): Sequential(
    (0): Conv2d(96, 96, kernel_size=(3, 3), stride=(1, 1))
    (1): BatchNorm2d(96, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (2): ReLU()
    (3): Conv2d(96, 192, kernel_size=(3, 3), stride=(2, 2))
    (4): BatchNorm2d(192, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (5): ReLU()
    (6): Conv2d(192, 192, kernel_size=(3, 3), stride=(1, 1))
    (7): BatchNorm2d(192, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (8): ReLU()
    (9): Conv2d(192, 384, kernel_size=(3, 3), stride=(2, 2))
    (10): BatchNorm2d(384, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (11): ReLU()
    (12): Conv2d(384, 384, kernel_size=(3, 3), stride=(1, 1))
    (13): BatchNorm2d(384, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (14): ReLU()
    (15): Conv2d(384, 768, kernel_size=(3, 3), stride=(2, 2))
    (16): BatchNorm2d(768, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (17): ReLU()
  )
  (conv2): Conv2d(768, 768, kernel_size=(3, 3), stride=(1, 1))
  (bn2): BatchNorm2d(768, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (relu2): ReLU()
  (final_conv1): Conv2d(768, 768, kernel_size=(1, 1), stride=(1, 1))
  (final_bn1): BatchNorm2d(768, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (relu_final1): ReLU()
  (final_conv2): Conv2d(768, 10, kernel_size=(1, 1), stride=(1, 1))
  (avgpool): AdaptiveAvgPool2d(output_size=(1, 1))
)
Epoch [1/143], Loss: 1.3338, Train Accuracy: 0.5173, Test Accuracy: 0.6091
Epoch [2/143], Loss: 0.8209, Train Accuracy: 0.7083, Test Accuracy: 0.7192
Epoch [3/143], Loss: 0.5872, Train Accuracy: 0.7951, Test Accuracy: 0.7515
Epoch [4/143], Loss: 0.4171, Train Accuracy: 0.8520, Test Accuracy: 0.7614
Epoch [5/143], Loss: 0.2522, Train Accuracy: 0.9132, Test Accuracy: 0.7556
Epoch [6/143], Loss: 0.1666, Train Accuracy: 0.9437, Test Accuracy: 0.7459
Epoch [7/143], Loss: 0.1126, Train Accuracy: 0.9620, Test Accuracy: 0.7565
Epoch [8/143], Loss: 0.0937, Train Accuracy: 0.9686, Test Accuracy: 0.7432
Epoch [9/143], Loss: 0.0832, Train Accuracy: 0.9724, Test Accuracy: 0.7665
Epoch [10/143], Loss: 0.0296, Train Accuracy: 0.9920, Test Accuracy: 0.7768
Epoch [11/143], Loss: 0.0133, Train Accuracy: 0.9970, Test Accuracy: 0.7894
Epoch [12/143], Loss: 0.0046, Train Accuracy: 0.9990, Test Accuracy: 0.7946
Epoch [13/143], Loss: 0.0018, Train Accuracy: 0.9999, Test Accuracy: 0.8001
Epoch [14/143], Loss: 0.0007, Train Accuracy: 1.0000, Test Accuracy: 0.8011
Epoch [15/143], Loss: 0.0006, Train Accuracy: 1.0000, Test Accuracy: 0.8016
Epoch [16/143], Loss: 0.0004, Train Accuracy: 1.0000, Test Accuracy: 0.8028
Epoch [17/143], Loss: 0.0004, Train Accuracy: 1.0000, Test Accuracy: 0.8027
Epoch [18/143], Loss: 0.0003, Train Accuracy: 1.0000, Test Accuracy: 0.8013
Epoch [19/143], Loss: 0.0003, Train Accuracy: 1.0000, Test Accuracy: 0.8035
Epoch [20/143], Loss: 0.0003, Train Accuracy: 1.0000, Test Accuracy: 0.8040
Epoch [21/143], Loss: 0.0002, Train Accuracy: 1.0000, Test Accuracy: 0.8029
Epoch [22/143], Loss: 0.0002, Train Accuracy: 1.0000, Test Accuracy: 0.8030
Epoch [23/143], Loss: 0.0002, Train Accuracy: 1.0000, Test Accuracy: 0.8044
Epoch [24/143], Loss: 0.0002, Train Accuracy: 1.0000, Test Accuracy: 0.8041
Epoch [25/143], Loss: 0.0002, Train Accuracy: 1.0000, Test Accuracy: 0.8038
Epoch [26/143], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8050
Epoch [27/143], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8027
Epoch [28/143], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8039
Epoch [29/143], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8050
Epoch [30/143], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8056
Epoch [31/143], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8037
Epoch [32/143], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8050
Epoch [33/143], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8049
Epoch [34/143], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8052
Epoch [35/143], Loss: 0.0005, Train Accuracy: 0.9999, Test Accuracy: 0.7959
Epoch [36/143], Loss: 0.0002, Train Accuracy: 1.0000, Test Accuracy: 0.8003
Epoch [37/143], Loss: 0.0002, Train Accuracy: 1.0000, Test Accuracy: 0.8010
Epoch [38/143], Loss: 0.0003, Train Accuracy: 1.0000, Test Accuracy: 0.8021
Epoch [39/143], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8031
Epoch [40/143], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8023
Epoch [41/143], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8019
Epoch [42/143], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8003
Epoch [43/143], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8023
Epoch [44/143], Loss: 0.4001, Train Accuracy: 0.8768, Test Accuracy: 0.7792
Epoch [45/143], Loss: 0.1486, Train Accuracy: 0.9506, Test Accuracy: 0.7769
Epoch [46/143], Loss: 0.0784, Train Accuracy: 0.9741, Test Accuracy: 0.7794
Epoch [47/143], Loss: 0.0633, Train Accuracy: 0.9785, Test Accuracy: 0.7870
Epoch [48/143], Loss: 0.0546, Train Accuracy: 0.9809, Test Accuracy: 0.7916
Epoch [49/143], Loss: 0.0363, Train Accuracy: 0.9879, Test Accuracy: 0.7922
Epoch [50/143], Loss: 0.0224, Train Accuracy: 0.9923, Test Accuracy: 0.7972
Epoch [51/143], Loss: 0.0174, Train Accuracy: 0.9943, Test Accuracy: 0.8041
Epoch [52/143], Loss: 0.0140, Train Accuracy: 0.9955, Test Accuracy: 0.8077
Epoch [53/143], Loss: 0.0077, Train Accuracy: 0.9979, Test Accuracy: 0.8060
Epoch [54/143], Loss: 0.0043, Train Accuracy: 0.9989, Test Accuracy: 0.8100
Epoch [55/143], Loss: 0.0035, Train Accuracy: 0.9991, Test Accuracy: 0.8084
Epoch [56/143], Loss: 0.0024, Train Accuracy: 0.9994, Test Accuracy: 0.8106
Epoch [57/143], Loss: 0.0009, Train Accuracy: 0.9999, Test Accuracy: 0.8161
Epoch [58/143], Loss: 0.0005, Train Accuracy: 1.0000, Test Accuracy: 0.8164
Epoch [59/143], Loss: 0.0002, Train Accuracy: 1.0000, Test Accuracy: 0.8186
Epoch [60/143], Loss: 0.0002, Train Accuracy: 1.0000, Test Accuracy: 0.8189
Epoch [61/143], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8182
Epoch [62/143], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8163
Epoch [63/143], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8187
Epoch [64/143], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8181
Epoch [65/143], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8184
