Files already downloaded and verified
Files already downloaded and verified
ConvNet(
  (conv1): Conv2d(3, 96, kernel_size=(3, 3), stride=(1, 1))
  (bn1): BatchNorm2d(96, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (relu1): ReLU()
  (conv_layers): Sequential(
    (0): Conv2d(96, 96, kernel_size=(3, 3), stride=(1, 1))
    (1): BatchNorm2d(96, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (2): ReLU()
    (3): Conv2d(96, 192, kernel_size=(3, 3), stride=(2, 2))
    (4): BatchNorm2d(192, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (5): ReLU()
    (6): Conv2d(192, 192, kernel_size=(3, 3), stride=(1, 1))
    (7): BatchNorm2d(192, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (8): ReLU()
    (9): Conv2d(192, 384, kernel_size=(3, 3), stride=(2, 2))
    (10): BatchNorm2d(384, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (11): ReLU()
    (12): Conv2d(384, 384, kernel_size=(3, 3), stride=(1, 1))
    (13): BatchNorm2d(384, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (14): ReLU()
    (15): Conv2d(384, 768, kernel_size=(3, 3), stride=(2, 2))
    (16): BatchNorm2d(768, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (17): ReLU()
  )
  (conv2): Conv2d(768, 768, kernel_size=(3, 3), stride=(1, 1))
  (bn2): BatchNorm2d(768, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (relu2): ReLU()
  (final_conv1): Conv2d(768, 768, kernel_size=(1, 1), stride=(1, 1))
  (final_bn1): BatchNorm2d(768, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (relu_final1): ReLU()
  (final_conv2): Conv2d(768, 10, kernel_size=(1, 1), stride=(1, 1))
  (avgpool): AdaptiveAvgPool2d(output_size=(1, 1))
)
Epoch [1/147], Loss: 1.3534, Train Accuracy: 0.5102, Test Accuracy: 0.6347
Epoch [2/147], Loss: 0.8412, Train Accuracy: 0.7055, Test Accuracy: 0.7164
Epoch [3/147], Loss: 0.6088, Train Accuracy: 0.7855, Test Accuracy: 0.7555
Epoch [4/147], Loss: 0.4461, Train Accuracy: 0.8439, Test Accuracy: 0.7626
Epoch [5/147], Loss: 0.3200, Train Accuracy: 0.8875, Test Accuracy: 0.7754
Epoch [6/147], Loss: 0.2169, Train Accuracy: 0.9242, Test Accuracy: 0.7535
Epoch [7/147], Loss: 0.1497, Train Accuracy: 0.9483, Test Accuracy: 0.7714
Epoch [8/147], Loss: 0.0911, Train Accuracy: 0.9697, Test Accuracy: 0.7777
Epoch [9/147], Loss: 0.0381, Train Accuracy: 0.9876, Test Accuracy: 0.7866
Epoch [10/147], Loss: 0.0187, Train Accuracy: 0.9946, Test Accuracy: 0.7988
Epoch [11/147], Loss: 0.0092, Train Accuracy: 0.9980, Test Accuracy: 0.8012
Epoch [12/147], Loss: 0.0048, Train Accuracy: 0.9992, Test Accuracy: 0.7975
Epoch [13/147], Loss: 0.0013, Train Accuracy: 1.0000, Test Accuracy: 0.8040
Epoch [14/147], Loss: 0.0007, Train Accuracy: 1.0000, Test Accuracy: 0.8087
Epoch [15/147], Loss: 0.0005, Train Accuracy: 1.0000, Test Accuracy: 0.8078
Epoch [16/147], Loss: 0.0004, Train Accuracy: 1.0000, Test Accuracy: 0.8089
Epoch [17/147], Loss: 0.0003, Train Accuracy: 1.0000, Test Accuracy: 0.8099
Epoch [18/147], Loss: 0.0003, Train Accuracy: 1.0000, Test Accuracy: 0.8102
Epoch [19/147], Loss: 0.0003, Train Accuracy: 1.0000, Test Accuracy: 0.8088
Epoch [20/147], Loss: 0.0003, Train Accuracy: 1.0000, Test Accuracy: 0.8109
Epoch [21/147], Loss: 0.0002, Train Accuracy: 1.0000, Test Accuracy: 0.8116
Epoch [22/147], Loss: 0.0002, Train Accuracy: 1.0000, Test Accuracy: 0.8105
Epoch [23/147], Loss: 0.0002, Train Accuracy: 1.0000, Test Accuracy: 0.8096
Epoch [24/147], Loss: 0.0002, Train Accuracy: 1.0000, Test Accuracy: 0.8120
Epoch [25/147], Loss: 0.0002, Train Accuracy: 1.0000, Test Accuracy: 0.8127
Epoch [26/147], Loss: 0.0002, Train Accuracy: 1.0000, Test Accuracy: 0.8097
Epoch [27/147], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8089
Epoch [28/147], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8107
Epoch [29/147], Loss: 0.0002, Train Accuracy: 1.0000, Test Accuracy: 0.8115
Epoch [30/147], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8125
Epoch [31/147], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8111
Epoch [32/147], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8118
Epoch [33/147], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8119
Epoch [34/147], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8112
Epoch [35/147], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8121
Epoch [36/147], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8116
Epoch [37/147], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8112
Epoch [38/147], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8124
Epoch [39/147], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8132
Epoch [40/147], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8117
Epoch [41/147], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8120
Epoch [42/147], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8119
Epoch [43/147], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8115
Epoch [44/147], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8116
Epoch [45/147], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8119
Epoch [46/147], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8120
Epoch [47/147], Loss: 0.0001, Train Accuracy: 1.0000, Test Accuracy: 0.8096
