Files already downloaded and verified
Files already downloaded and verified
ConvNet(
  (conv1): Conv2d(3, 96, kernel_size=(3, 3), stride=(1, 1))
  (bn1): BatchNorm2d(96, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (relu1): ReLU()
  (conv_layers): Sequential(
    (0): Conv2d(96, 96, kernel_size=(3, 3), stride=(1, 1))
    (1): BatchNorm2d(96, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (2): ReLU()
    (3): Conv2d(96, 192, kernel_size=(3, 3), stride=(2, 2))
    (4): BatchNorm2d(192, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (5): ReLU()
    (6): Conv2d(192, 192, kernel_size=(3, 3), stride=(1, 1))
    (7): BatchNorm2d(192, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (8): ReLU()
    (9): Conv2d(192, 384, kernel_size=(3, 3), stride=(2, 2))
    (10): BatchNorm2d(384, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (11): ReLU()
    (12): Conv2d(384, 384, kernel_size=(3, 3), stride=(1, 1))
    (13): BatchNorm2d(384, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (14): ReLU()
    (15): Conv2d(384, 768, kernel_size=(3, 3), stride=(2, 2))
    (16): BatchNorm2d(768, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (17): ReLU()
  )
  (conv2): Conv2d(768, 768, kernel_size=(3, 3), stride=(1, 1))
  (bn2): BatchNorm2d(768, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (relu2): ReLU()
  (final_conv1): Conv2d(768, 768, kernel_size=(1, 1), stride=(1, 1))
  (final_bn1): BatchNorm2d(768, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (relu_final1): ReLU()
  (final_conv2): Conv2d(768, 10, kernel_size=(1, 1), stride=(1, 1))
  (avgpool): AdaptiveAvgPool2d(output_size=(1, 1))
)
Epoch [1/147], Loss: 1.2995, Train Accuracy: 0.5293, Test Accuracy: 0.6602
Epoch [2/147], Loss: 0.7938, Train Accuracy: 0.7181, Test Accuracy: 0.6862
Epoch [3/147], Loss: 0.5745, Train Accuracy: 0.7977, Test Accuracy: 0.7527
Epoch [4/147], Loss: 0.4242, Train Accuracy: 0.8509, Test Accuracy: 0.7683
Epoch [5/147], Loss: 0.2988, Train Accuracy: 0.8948, Test Accuracy: 0.7759
Epoch [6/147], Loss: 0.2097, Train Accuracy: 0.9255, Test Accuracy: 0.7662
Epoch [7/147], Loss: 0.1421, Train Accuracy: 0.9512, Test Accuracy: 0.7758
Epoch [8/147], Loss: 0.0938, Train Accuracy: 0.9679, Test Accuracy: 0.7759
Epoch [9/147], Loss: 0.0313, Train Accuracy: 0.9915, Test Accuracy: 0.8016
Epoch [10/147], Loss: 0.0093, Train Accuracy: 0.9985, Test Accuracy: 0.8119
Epoch [11/147], Loss: 0.0036, Train Accuracy: 0.9996, Test Accuracy: 0.8106
Epoch [12/147], Loss: 0.0015, Train Accuracy: 1.0000, Test Accuracy: 0.8174
Epoch [13/147], Loss: 0.0008, Train Accuracy: 1.0000, Test Accuracy: 0.8191
Epoch [14/147], Loss: 0.0006, Train Accuracy: 1.0000, Test Accuracy: 0.8198
Epoch [15/147], Loss: 0.0005, Train Accuracy: 1.0000, Test Accuracy: 0.8186
Epoch [16/147], Loss: 0.0004, Train Accuracy: 1.0000, Test Accuracy: 0.8195
Epoch [17/147], Loss: 0.0003, Train Accuracy: 1.0000, Test Accuracy: 0.8206
Epoch [18/147], Loss: 0.0003, Train Accuracy: 1.0000, Test Accuracy: 0.8209
Epoch [19/147], Loss: 0.0003, Train Accuracy: 1.0000, Test Accuracy: 0.8219
Epoch [20/147], Loss: 0.0002, Train Accuracy: 1.0000, Test Accuracy: 0.8198
Epoch [21/147], Loss: 0.0002, Train Accuracy: 1.0000, Test Accuracy: 0.8219
Epoch [22/147], Loss: 0.0002, Train Accuracy: 1.0000, Test Accuracy: 0.8221
